"gene","filtered_output2_260_WT_1_B2","filtered_output2_985_SOCS3_1_B2","filtered_output2_Tube1_SOCS3_2_B1","filtered_output2_Tube2_SOCS3_3_B1","filtered_output2_Tube3_WT_2_B1","filtered_output2_Tube4_WT_3_B1"
"ENSMUSG00000000001",2703,3061,5523,4482,4288,5780
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",746,641,910,733,617,845
"ENSMUSG00000000037",1995,1782,2184,1655,1524,1779
"ENSMUSG00000000049",370,341,52,129,166,113
"ENSMUSG00000000056",0,0,0,0,3,0
"ENSMUSG00000000058",613,874,1675,1735,1239,1095
"ENSMUSG00000000078",3,24,11,37,26,25
"ENSMUSG00000000085",3,0,5,2,3,0
"ENSMUSG00000000088",101,121,41,44,41,32
"ENSMUSG00000000093",259,296,39,117,139,79
"ENSMUSG00000000094",293,308,172,253,176,187
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",367,613,84,213,193,144
"ENSMUSG00000000125",66,76,67,90,79,47
"ENSMUSG00000000126",1333,1583,995,801,925,775
"ENSMUSG00000000127",45,36,11,29,28,3
"ENSMUSG00000000131",1046,1168,755,778,692,730
"ENSMUSG00000000134",20,32,48,26,24,18
"ENSMUSG00000000142",42,68,29,42,18,9
"ENSMUSG00000000148",157,176,157,170,100,132
"ENSMUSG00000000149",203,257,130,119,104,125
"ENSMUSG00000000154",1937,2005,3716,2926,3160,3003
"ENSMUSG00000000157",5,0,9,9,0,8
"ENSMUSG00000000159",6,14,0,0,3,0
"ENSMUSG00000000167",66,72,99,65,73,30
"ENSMUSG00000000168",182,162,75,130,83,46
"ENSMUSG00000000171",15,2,0,0,0,0
"ENSMUSG00000000182",0,0,15,0,4,6
"ENSMUSG00000000183",0,0,0,4,5,0
"ENSMUSG00000000184",2086,1668,2916,2174,2129,2816
"ENSMUSG00000000194",5608,5508,4011,4186,3359,3619
"ENSMUSG00000000197",114,128,71,191,106,58
"ENSMUSG00000000202",39,48,23,54,14,18
"ENSMUSG00000000204",1264,1245,1271,1196,1148,715
"ENSMUSG00000000214",5845,5199,7737,4737,5273,6974
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0
"ENSMUSG00000000223",4,3,1,3,2,1
"ENSMUSG00000000244",4,16,0,1,0,4
"ENSMUSG00000000247",444,679,336,413,341,262
"ENSMUSG00000000248",590,452,130,330,255,283
"ENSMUSG00000000253",539,814,109,414,242,206
"ENSMUSG00000000263",7735,11408,27775,22984,22080,30073
"ENSMUSG00000000266",63,42,7,20,29,23
"ENSMUSG00000000275",18,27,25,10,24,12
"ENSMUSG00000000276",1602,1868,2551,2480,2261,1971
"ENSMUSG00000000278",89,154,147,176,138,153
"ENSMUSG00000000282",252,280,112,178,165,110
"ENSMUSG00000000290",181,327,60,278,217,97
"ENSMUSG00000000295",0,0,0,0,0,0
"ENSMUSG00000000296",0,4,0,3,0,0
"ENSMUSG00000000301",81,86,79,58,47,65
"ENSMUSG00000000303",728,869,743,811,780,676
"ENSMUSG00000000305",57,34,7,48,13,17
"ENSMUSG00000000308",530,660,586,435,417,394
"ENSMUSG00000000317",7,0,0,0,8,6
"ENSMUSG00000000318",24,19,14,20,16,1
"ENSMUSG00000000320",370,279,797,739,646,669
"ENSMUSG00000000326",299,198,163,159,177,130
"ENSMUSG00000000339",419,502,321,277,242,346
"ENSMUSG00000000340",358,415,208,260,159,194
"ENSMUSG00000000346",63,95,9,29,36,22
"ENSMUSG00000000355",0,0,0,0,0,0
"ENSMUSG00000000359",0,0,0,0,0,0
"ENSMUSG00000000365",1989,2358,1299,1615,1411,1242
"ENSMUSG00000000374",36,37,19,21,5,22
"ENSMUSG00000000378",1389,1237,1237,790,852,972
"ENSMUSG00000000381",427,375,114,112,114,180
"ENSMUSG00000000384",1553,1843,641,679,845,772
"ENSMUSG00000000385",95,102,186,152,101,111
"ENSMUSG00000000386",0,0,0,0,0,0
"ENSMUSG00000000392",1397,1456,855,615,826,839
"ENSMUSG00000000394",0,0,0,0,5,0
"ENSMUSG00000000399",230,190,282,346,336,237
"ENSMUSG00000000402",0,0,0,0,0,0
"ENSMUSG00000000409",37,53,24,33,14,23
"ENSMUSG00000000411",2,4,3,4,1,2
"ENSMUSG00000000416",77,85,342,201,134,100
"ENSMUSG00000000420",2,8,0,0,0,0
"ENSMUSG00000000435",5,5,0,8,11,0
"ENSMUSG00000000439",5,6,20,2,3,0
"ENSMUSG00000000440",563,335,361,298,281,340
"ENSMUSG00000000441",969,911,810,637,751,750
"ENSMUSG00000000486",1,1,4,0,0,0
"ENSMUSG00000000489",1545,1425,1354,1112,982,1114
"ENSMUSG00000000530",34,71,9,16,18,31
"ENSMUSG00000000531",155,242,126,170,122,109
"ENSMUSG00000000532",51,36,14,26,24,18
"ENSMUSG00000000538",1625,2649,417,1095,984,685
"ENSMUSG00000000544",417,484,108,235,155,119
"ENSMUSG00000000552",4693,4519,7341,5372,4724,5588
"ENSMUSG00000000555",417,593,416,324,259,335
"ENSMUSG00000000560",0,0,1,1,0,0
"ENSMUSG00000000561",0,1,0,3,1,2
"ENSMUSG00000000562",129,121,76,50,31,28
"ENSMUSG00000000563",5,0,0,0,0,4
"ENSMUSG00000000567",0,0,0,0,0,0
"ENSMUSG00000000568",13,0,7,15,0,0
"ENSMUSG00000000579",1,0,0,0,0,1
"ENSMUSG00000000581",144,111,128,70,117,63
"ENSMUSG00000000594",1687,1412,2440,1843,1777,2191
"ENSMUSG00000000600",148,134,120,81,142,67
"ENSMUSG00000000605",1124,1303,1808,1617,1377,1259
"ENSMUSG00000000606",0,0,0,0,5,0
"ENSMUSG00000000617",423,984,457,665,1005,723
"ENSMUSG00000000627",108,94,65,39,51,82
"ENSMUSG00000000628",730,1153,1111,883,824,617
"ENSMUSG00000000631",4966,5702,5626,5219,4762,4370
"ENSMUSG00000000632",2278,2162,2290,1992,1826,2127
"ENSMUSG00000000673",29,33,12,25,7,16
"ENSMUSG00000000682",12,7,6,12,7,4
"ENSMUSG00000000686",238,363,90,116,76,54
"ENSMUSG00000000690",0,0,0,0,0,0
"ENSMUSG00000000693",27,52,42,59,31,57
"ENSMUSG00000000701",0,8,0,0,0,0
"ENSMUSG00000000706",0,4,2,1,3,2
"ENSMUSG00000000708",0,0,0,0,0,0
"ENSMUSG00000000711",2501,2715,3110,2316,2340,2709
"ENSMUSG00000000724",6,3,5,5,1,3
"ENSMUSG00000000730",17,10,38,19,29,34
"ENSMUSG00000000731",5,9,10,6,9,6
"ENSMUSG00000000732",1426,1355,926,749,592,724
"ENSMUSG00000000738",65,99,56,80,99,62
"ENSMUSG00000000739",5,0,1,6,0,0
"ENSMUSG00000000740",92,159,137,108,125,69
"ENSMUSG00000000743",231,270,171,132,242,148
"ENSMUSG00000000751",128,158,111,94,88,54
"ENSMUSG00000000753",1318,1291,1756,1574,1221,1704
"ENSMUSG00000000759",42,67,42,49,81,18
"ENSMUSG00000000766",139,305,17,78,49,9
"ENSMUSG00000000776",656,623,257,284,286,346
"ENSMUSG00000000782",137,133,50,98,84,55
"ENSMUSG00000000787",2591,2946,3661,3491,2686,2912
"ENSMUSG00000000791",691,768,497,483,463,383
"ENSMUSG00000000792",1314,1522,761,900,718,541
"ENSMUSG00000000794",1392,1679,1915,1434,1437,1752
"ENSMUSG00000000804",741,765,1009,708,561,640
"ENSMUSG00000000805",1018,1075,633,678,684,574
"ENSMUSG00000000811",38,71,45,39,42,35
"ENSMUSG00000000817",15,27,3,11,11,0
"ENSMUSG00000000823",2981,2633,3404,1951,1858,2485
"ENSMUSG00000000826",538,398,638,560,461,593
"ENSMUSG00000000827",2,3,0,11,2,0
"ENSMUSG00000000838",0,0,0,0,0,0
"ENSMUSG00000000861",629,688,94,191,90,118
"ENSMUSG00000000869",0,0,0,0,0,0
"ENSMUSG00000000876",87,80,15,69,38,27
"ENSMUSG00000000881",0,0,0,0,0,0
"ENSMUSG00000000884",19,38,11,26,1,24
"ENSMUSG00000000889",3,5,0,4,0,0
"ENSMUSG00000000901",265,339,170,165,216,177
"ENSMUSG00000000902",814,953,655,644,565,520
"ENSMUSG00000000903",6,6,0,4,4,1
"ENSMUSG00000000915",575,501,413,344,370,502
"ENSMUSG00000000916",29,30,17,54,9,11
"ENSMUSG00000000934",1,0,0,0,0,0
"ENSMUSG00000000938",237,195,167,149,173,174
"ENSMUSG00000000942",23,17,26,19,14,4
"ENSMUSG00000000948",0,0,0,0,0,0
"ENSMUSG00000000957",742,1062,475,543,503,364
"ENSMUSG00000000958",2621,2636,2346,1872,2073,2032
"ENSMUSG00000000959",132,142,78,66,104,85
"ENSMUSG00000000976",5168,4788,20276,17258,11924,12316
"ENSMUSG00000000982",6,0,0,8,2,5
"ENSMUSG00000000983",59,86,31,36,19,8
"ENSMUSG00000001014",0,0,0,0,0,0
"ENSMUSG00000001016",860,935,1216,1030,1026,967
"ENSMUSG00000001017",601,638,746,651,530,612
"ENSMUSG00000001018",162,118,96,125,111,102
"ENSMUSG00000001020",171,170,200,146,156,143
"ENSMUSG00000001021",686,930,1076,744,837,798
"ENSMUSG00000001023",19,33,19,11,28,33
"ENSMUSG00000001025",46,25,3,13,28,8
"ENSMUSG00000001027",1536,1767,1524,1285,1380,1412
"ENSMUSG00000001029",304,296,149,96,184,105
"ENSMUSG00000001034",0,1,0,0,0,0
"ENSMUSG00000001036",106,117,68,50,19,35
"ENSMUSG00000001039",0,0,0,0,0,0
"ENSMUSG00000001052",31,59,8,27,22,8
"ENSMUSG00000001053",12,13,0,11,8,15
"ENSMUSG00000001054",4,0,0,4,6,0
"ENSMUSG00000001056",0,3,0,0,3,0
"ENSMUSG00000001062",660,636,305,197,212,237
"ENSMUSG00000001065",212,167,120,80,80,69
"ENSMUSG00000001076",75,63,46,13,35,14
"ENSMUSG00000001082",63,107,25,80,48,55
"ENSMUSG00000001089",74,176,141,161,195,119
"ENSMUSG00000001095",842,930,1413,1209,951,1290
"ENSMUSG00000001098",0,0,0,0,0,0
"ENSMUSG00000001100",0,0,2,0,3,0
"ENSMUSG00000001103",0,0,0,0,0,0
"ENSMUSG00000001105",0,0,0,0,0,0
"ENSMUSG00000001119",289,292,418,370,260,236
"ENSMUSG00000001120",711,2012,2170,2730,2456,1994
"ENSMUSG00000001123",1,0,0,9,0,0
"ENSMUSG00000001127",1047,1092,1154,893,870,1230
"ENSMUSG00000001128",0,0,0,0,0,0
"ENSMUSG00000001131",0,0,0,0,0,7
"ENSMUSG00000001134",5,11,0,12,1,0
"ENSMUSG00000001138",407,444,613,567,662,528
"ENSMUSG00000001143",303,436,127,261,236,170
"ENSMUSG00000001150",453,493,642,540,427,394
"ENSMUSG00000001151",180,188,174,226,192,114
"ENSMUSG00000001155",1289,1331,1314,1009,936,1021
"ENSMUSG00000001156",265,283,340,213,206,242
"ENSMUSG00000001157",1207,1159,1421,1086,1049,1101
"ENSMUSG00000001158",3252,3411,3819,2820,2846,2975
"ENSMUSG00000001166",1,11,7,7,2,33
"ENSMUSG00000001168",0,0,0,0,0,0
"ENSMUSG00000001173",0,0,0,0,0,0
"ENSMUSG00000001175",7,1,0,11,4,0
"ENSMUSG00000001211",154,263,238,218,164,199
"ENSMUSG00000001225",339,349,383,235,339,323
"ENSMUSG00000001227",1610,2554,2093,2149,1949,1849
"ENSMUSG00000001228",1103,1163,1487,1063,1169,1233
"ENSMUSG00000001229",9,4,3,7,1,0
"ENSMUSG00000001240",2,0,4,1,0,0
"ENSMUSG00000001247",26,30,24,16,35,19
"ENSMUSG00000001248",65,38,17,6,15,13
"ENSMUSG00000001249",0,9,1,0,0,0
"ENSMUSG00000001260",0,0,0,0,0,0
"ENSMUSG00000001270",195,283,84,137,114,88
"ENSMUSG00000001280",1697,1877,2699,1716,1481,1789
"ENSMUSG00000001281",372,292,257,241,259,189
"ENSMUSG00000001285",558,693,633,544,587,432
"ENSMUSG00000001288",924,1581,2180,2655,2924,2031
"ENSMUSG00000001289",688,718,983,837,844,674
"ENSMUSG00000001300",466,385,153,239,185,137
"ENSMUSG00000001305",0,0,0,0,0,0
"ENSMUSG00000001313",0,0,0,0,2,0
"ENSMUSG00000001323",176,180,82,158,101,56
"ENSMUSG00000001333",454,468,527,426,456,389
"ENSMUSG00000001334",113,157,39,46,57,40
"ENSMUSG00000001348",7,20,16,5,10,9
"ENSMUSG00000001349",710,749,1077,926,928,1045
"ENSMUSG00000001366",24,74,11,18,17,15
"ENSMUSG00000001376",1277,1404,1604,1490,1316,1150
"ENSMUSG00000001380",0,0,0,0,0,0
"ENSMUSG00000001383",0,0,0,0,0,0
"ENSMUSG00000001403",0,0,0,0,0,0
"ENSMUSG00000001415",5,10,0,8,11,5
"ENSMUSG00000001416",1,0,0,4,0,0
"ENSMUSG00000001418",0,0,2,0,0,0
"ENSMUSG00000001419",31,25,22,17,13,17
"ENSMUSG00000001420",0,0,0,0,0,0
"ENSMUSG00000001424",8484,8316,13127,11323,8809,11539
"ENSMUSG00000001435",154,186,31,105,104,64
"ENSMUSG00000001436",67,123,36,35,47,38
"ENSMUSG00000001440",610,752,610,508,444,572
"ENSMUSG00000001441",722,782,890,639,454,590
"ENSMUSG00000001444",11,18,6,22,0,0
"ENSMUSG00000001445",392,373,608,452,341,515
"ENSMUSG00000001467",22,6,0,2,0,0
"ENSMUSG00000001472",9,16,7,7,6,6
"ENSMUSG00000001473",11,59,15,23,29,15
"ENSMUSG00000001482",0,0,0,1,0,0
"ENSMUSG00000001493",145,126,204,153,117,155
"ENSMUSG00000001494",0,4,0,0,0,5
"ENSMUSG00000001496",0,1,0,0,2,0
"ENSMUSG00000001497",18,13,4,5,14,0
"ENSMUSG00000001504",0,0,0,0,0,0
"ENSMUSG00000001506",0,0,0,0,0,0
"ENSMUSG00000001507",54867,114140,363942,213393,236695,378106
"ENSMUSG00000001508",0,3,0,3,0,0
"ENSMUSG00000001510",121,130,108,72,84,75
"ENSMUSG00000001517",141,205,56,101,128,73
"ENSMUSG00000001518",41,73,40,51,64,43
"ENSMUSG00000001520",35,22,31,18,13,26
