ensembl_transcript_id	ensembl_gene_id	external_gene_name	chromosome_name	CHR	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val
ENSMUST00000028882	ENSMUSG00000027399	Il1a	2	2	Il1a	ENSMUSG00000027399	-3.46096737383664	5.66009735310819	-24.1445385984855	3.3714065287361e-08	0.000734022629436424
ENSMUST00000027997	ENSMUSG00000026678	Rgs5	1	1	Rgs5	ENSMUSG00000026678	-2.47141071723306	6.55055943334927	-19.4217300243911	1.47323095632406e-07	0.00160375921905437
ENSMUST00000025263	ENSMUSG00000024401	Tnf	17	17	Tnf	ENSMUSG00000024401	-2.01118328471754	7.63631160898878	-16.2498948620298	4.92190187813566e-07	0.00357198825635899
ENSMUST00000028881	ENSMUSG00000027398	Il1b	2	2	Il1b	ENSMUSG00000027398	-1.46243403630359	7.85789678753468	-14.7668432058824	8.8614931576715e-07	0.0036985327075788
ENSMUST00000031276	ENSMUSG00000089809	Rasgef1b	5	5	Rasgef1b	ENSMUSG00000089809	-1.33237115671566	7.91148864540128	-14.292408337884	1.08449203519476e-06	0.0036985327075788
ENSMUST00000064783	ENSMUSG00000042436	Mfap4	11	11	Mfap4	ENSMUSG00000042436	-2.46571039793776	4.83378770302359	-14.4443239728533	1.1702543532421e-06	0.0036985327075788
ENSMUST00000061829	ENSMUSG00000051439	Cd14	18	18	Cd14	ENSMUSG00000051439	-2.11891084691679	7.40141408146335	-14.1200554458035	1.32625752082713e-06	0.0036985327075788
ENSMUST00000022213	ENSMUSG00000021702	Thbs4	13	13	Thbs4	ENSMUSG00000021702	-2.08055627385463	9.3673115201389	-14.0621677579216	1.35900522049561e-06	0.0036985327075788
ENSMUST00000016673	ENSMUSG00000016529	Il10	1	1	Il10	ENSMUSG00000016529	-2.60778171714391	5.51700576018744	-13.7043783917182	1.70497764415246e-06	0.00412453036316526
ENSMUST00000229130	ENSMUSG00000042622	Maff	15	15	Maff	ENSMUSG00000042622	-1.33108683743818	6.84515166303345	-12.9505222774969	2.14721783336713e-06	0.00427268993162641
ENSMUST00000019074	ENSMUSG00000018930	Ccl4	11	11	Ccl4	ENSMUSG00000018930	-2.26593065971552	6.78666595144916	-13.189683395397	2.1587171251098e-06	0.00427268993162641
ENSMUST00000145982	ENSMUSG00000052749	Trim30b	7	7	Trim30b	ENSMUSG00000052749	1.40190319637665	4.50519802849375	12.7641218927496	2.40703959884823e-06	0.00436717217884363
ENSMUST00000015540	ENSMUSG00000015396	Cd83	13	13	Cd83	ENSMUSG00000015396	-1.36371615627142	8.42691177813557	-12.4625439290056	2.8173620933076e-06	0.00471843134580715
ENSMUST00000015981	ENSMUSG00000015837	Sqstm1	11	11	Sqstm1	ENSMUSG00000015837	-1.19480627968436	9.02416494640196	-12.1212259670848	3.28842968476847e-06	0.00511397793548423
ENSMUST00000234494	ENSMUSG00000033960	Jcad	18	18	Jcad	ENSMUSG00000033960	-1.43615735395527	5.84137198311402	-11.6719273137765	4.48285834990437e-06	0.00649650951893128
