ensembl_transcript_id	ensembl_gene_id	external_gene_name	chromosome_name	CHR	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val
ENSMUST00000103386	ENSMUSG00000095630	Igkv6-23	6	6	Igkv6-23	ENSMUSG00000095630	-3.5845695511695	4.68158044399535	-15.7588563022075	1.21098191155119e-06	0.0233043976282359
ENSMUST00000103523	ENSMUSG00000093894	Ighv1-53	12	12	Ighv1-53	ENSMUSG00000093894	-4.02119639662294	4.58829534332938	-13.8221456405657	2.91433062478994e-06	0.0233043976282359
ENSMUST00000103393	ENSMUSG00000094797	Igkv6-15	6	6	Igkv6-15	ENSMUSG00000094797	-3.94266100967694	3.69270110107359	-13.6131719633207	3.21115161146002e-06	0.0233043976282359
ENSMUST00000103328	ENSMUSG00000094420	Igkv10-96	6	6	Igkv10-96	ENSMUSG00000094420	-2.02905255711758	5.44639940752579	-11.1719573743916	1.03028437733028e-05	0.043970635148319
ENSMUST00000103526	ENSMUSG00000095589	Ighv1-55	12	12	Ighv1-55	ENSMUSG00000095589	-3.11608449045674	4.04100733750227	-11.2337709125731	1.08023120640166e-05	0.043970635148319
ENSMUST00000164073	ENSMUSG00000067149	Jchain	5	5	Jchain	ENSMUSG00000067149	-2.25192523178681	9.04057488897858	-10.531586369236	1.54069186441253e-05	0.043970635148319
ENSMUST00000039987	ENSMUSG00000041272	Tox	4	4	Tox	ENSMUSG00000041272	-1.95752905523768	3.33460714921206	-10.3938809973301	1.62636920230468e-05	0.043970635148319
ENSMUST00000196991	ENSMUSG00000095127	Ighv1-82	12	12	Ighv1-82	ENSMUSG00000095127	-2.68921550212963	3.8143632172563	-10.2822208959169	1.85994196863717e-05	0.043970635148319
ENSMUST00000196768	ENSMUSG00000096632	Igkv9-124	6	6	Igkv9-124	ENSMUSG00000096632	-6.73973452345099	0.0356206702301289	-10.4622408876795	1.87639410134533e-05	0.043970635148319
ENSMUST00000194738	ENSMUSG00000095079	Igha	12	12	Igha	ENSMUSG00000095079	-1.18630356677423	10.5419503094106	-9.81523306623852	2.06539976531468e-05	0.043970635148319
ENSMUST00000086975	ENSMUSG00000049608	Gpr55	1	1	Gpr55	ENSMUSG00000049608	-2.49645047103617	2.30445863306125	-9.97858361300694	2.22155514712249e-05	0.043970635148319
ENSMUST00000103541	ENSMUSG00000096074	Ighv1-72	12	12	Ighv1-72	ENSMUSG00000096074	-3.82173035284528	4.13162140811943	-9.49251428459238	3.27543635939501e-05	0.0551712073085733
ENSMUST00000165835	ENSMUSG00000022025	Cnmd	14	14	Cnmd	ENSMUSG00000022025	-4.3459380040569	0.220866382000663	-9.50937641205864	3.29425728004525e-05	0.0551712073085733
ENSMUST00000103529	ENSMUSG00000095889	Ighv1-58	12	12	Ighv1-58	ENSMUSG00000095889	-5.7549600950759	-0.571546626236704	-9.31093337177516	3.88450387193845e-05	0.0593371458491232
ENSMUST00000030528	ENSMUSG00000041202	Pla2g2d	4	4	Pla2g2d	ENSMUSG00000041202	1.51742034128985	4.38070323862175	8.90574441958098	4.08808188378123e-05	0.0593371458491232
ENSMUST00000103444	ENSMUSG00000095612	Ighv5-4	12	12	Ighv5-4	ENSMUSG00000095612	-4.90239489251153	1.569654738693	-8.9901129891993	4.76562335561407e-05	0.0648482198115184
