ensembl_transcript_id	ensembl_gene_id	external_gene_name	chromosome_name	CHR	SYMBOL	ENSEMBL	logFC	logCPM	LR	PValue	FDR
ENSMUST00000103523	ENSMUSG00000093894	Ighv1-53	12	12	Ighv1-53	ENSMUSG00000093894	-4.00772777397589	6.09167371255618	143.766709999094	3.99573300820693e-33	8.69950990546813e-29
ENSMUST00000078869	ENSMUSG00000071177	Serpina1d	12	12	Serpina1d	ENSMUSG00000071177	-9.77600388165275	2.55967762710621	128.732700940353	7.75951027537602e-30	8.44700288577433e-26
ENSMUST00000103342	ENSMUSG00000076541	Igkv4-79	6	6	Igkv4-79	ENSMUSG00000076541	-10.5461019329743	0.523632613566318	120.868735645656	4.08271394957136e-28	2.96296160366892e-24
ENSMUST00000103328	ENSMUSG00000094420	Igkv10-96	6	6	Igkv10-96	ENSMUSG00000094420	-1.93475165058353	5.9219024193202	85.8790730586993	1.91282379362543e-20	1.04114999087032e-16
ENSMUST00000196768	ENSMUSG00000096632	Igkv9-124	6	6	Igkv9-124	ENSMUSG00000096632	-6.21906589798796	2.78735715447285	83.0880716165078	7.84778243410636e-20	3.41723838310727e-16
ENSMUST00000195619	ENSMUSG00000076670	Ighv3-5	12	12	Ighv3-5	ENSMUSG00000076670	-7.57542620173683	0.688664392307985	52.5779338459066	4.13509226540162e-13	1.5004871467054e-09
ENSMUST00000196991	ENSMUSG00000095127	Ighv1-82	12	12	Ighv1-82	ENSMUSG00000095127	-2.3049625766862	4.74702355468628	47.0457196466523	6.93499481912326e-12	2.15698153145645e-08
ENSMUST00000103444	ENSMUSG00000095612	Ighv5-4	12	12	Ighv5-4	ENSMUSG00000095612	-4.37126775732313	3.55040475115663	44.643399727545	2.36393147882255e-11	6.43343951961557e-08
ENSMUST00000195707	ENSMUSG00000096498	Ighv2-5	12	12	Ighv2-5	ENSMUSG00000096498	-6.75172355381636	2.09826334739951	38.8043399763857	4.68485092931257e-10	1.13331749369993e-06
ENSMUST00000195124	ENSMUSG00000076672	Ighv3-6	12	12	Ighv3-6	ENSMUSG00000076672	-2.0324417049168	6.01713525301152	37.7877464002191	7.88756614434464e-10	1.71728090094671e-06
ENSMUST00000030528	ENSMUSG00000041202	Pla2g2d	4	4	Pla2g2d	ENSMUSG00000041202	1.32936023099966	4.50936270394479	36.440560559306	1.57393532607482e-09	3.11524726539099e-06
ENSMUST00000199760	ENSMUSG00000106387	Igkv4-73	6	6	Igkv4-73	ENSMUSG00000106387	-4.6980419097105	-1.1358068455413	35.4944316663649	2.55780726034301e-09	4.64071497268233e-06
ENSMUST00000103304	ENSMUSG00000094491	Igkv1-133	6	6	Igkv1-133	ENSMUSG00000094491	-8.98726443300502	-0.689675247355597	30.107630724285	4.08719809974065e-08	6.84511361750412e-05
ENSMUST00000081654	ENSMUSG00000001435	Col18a1	10	10	Col18a1	ENSMUSG00000001435	0.881200208697555	5.22144683189036	28.6070285681288	8.86597847073102e-08	0.000137878630903397
ENSMUST00000195638	ENSMUSG00000102952	Ighv1-25	12	12	Ighv1-25	ENSMUSG00000102952	-6.8811990735468	0.732131229842867	26.9950085858856	2.03981525246094e-07	0.000296072384510531
ENSMUST00000074051	ENSMUSG00000079015	Serpina1c	12	12	Serpina1c	ENSMUSG00000079015	-8.53659620823489	-1.17524188754328	26.8368696012473	2.21373317263568e-07	0.0003012337414664
ENSMUST00000103400	ENSMUSG00000095335	Igkv3-5	6	6	Igkv3-5	ENSMUSG00000095335	-6.57826767484307	3.0751292755686	26.2809965078721	2.95178934256547e-07	0.000378037397449031
ENSMUST00000103534	ENSMUSG00000096672	Ighv1-63	12	12	Ighv1-63	ENSMUSG00000096672	-7.96561903188509	1.61765337546767	23.7657359518612	1.08802182948373e-06	0.00128817281182489
ENSMUST00000103526	ENSMUSG00000095589	Ighv1-55	12	12	Ighv1-55	ENSMUSG00000095589	-3.20005823291116	5.34287239134394	23.6629000481891	1.14773950851908e-06	0.00128817281182489
ENSMUST00000029900	ENSMUSG00000028238	Atp6v0d2	4	4	Atp6v0d2	ENSMUSG00000028238	0.890131793351838	6.8675842528425	23.5173396553952	1.23793052079306e-06	0.00128817281182489
ENSMUST00000228799	ENSMUSG00000114974	Gm21010	14	14	Gm21010	ENSMUSG00000114974	-7.89272123459681	-1.89686491830348	23.5102565998739	1.24249628184469e-06	0.00128817281182489
ENSMUST00000103323	ENSMUSG00000076522	Igkv16-104	6	6	Igkv16-104	ENSMUSG00000076522	-9.16282017736106	5.29039858523803	23.4051859889565	1.31224294364118e-06	0.00129864333495253
ENSMUST00000192512	ENSMUSG00000104252	Pcdha4	18	18	Pcdha4	ENSMUSG00000104252	-6.97331968605084	-2.82198425242562	22.9112677125958	1.69654429135377e-06	0.00160596357875454
ENSMUST00000230067	ENSMUSG00000116336	Krt85	15	15	Krt85	ENSMUSG00000116336	4.46919583475974	-1.77312702968431	22.7017194455635	1.89198494872329e-06	0.00171634567931681
ENSMUST00000072876	ENSMUSG00000066366	Serpina1a	12	12	Serpina1a	ENSMUSG00000066366	-5.73867560575989	2.07059263716998	22.3063496911982	2.32436757042437e-06	0.00202424522973118
ENSMUST00000117115	ENSMUSG00000082381	Gm12928	4	4	Gm12928	ENSMUSG00000082381	-7.50524135195228	-2.35033957244453	21.4796785710247	3.57598221419488e-06	0.00297629743809094
ENSMUST00000065797	ENSMUSG00000027221	Chst1	2	2	Chst1	ENSMUSG00000027221	-1.33117965392284	3.59650200608754	21.4189862420245	3.69098065535804e-06	0.00297629743809094
ENSMUST00000020664	ENSMUSG00000020395	Itk	11	11	Itk	ENSMUSG00000020395	-1.02548369688168	4.65746717926372	21.169682691378	4.20361761322626e-06	0.00326861295268436
ENSMUST00000195337	ENSMUSG00000076688	Ighv15-2	12	12	Ighv15-2	ENSMUSG00000076688	-4.62563504963325	0.695135574213152	20.1323106505823	7.22654976972871e-06	0.00542539453746667
ENSMUST00000103386	ENSMUSG00000095630	Igkv6-23	6	6	Igkv6-23	ENSMUSG00000095630	-3.04123269739627	5.57272256374824	19.7766931725117	8.70375645928788e-06	0.00631660618772052
ENSMUST00000102626	ENSMUSG00000030854	Ptpn5	7	7	Ptpn5	ENSMUSG00000030854	-3.2353192053463	1.19370292321239	19.6422891312769	9.33793815755e-06	0.00644998706805158
ENSMUST00000054930	ENSMUSG00000044172	Ptx4	17	17	Ptx4	ENSMUSG00000044172	1.61128440246577	3.47803398477763	19.6134302618825	9.48004713290696e-06	0.00644998706805158
