ensembl_transcript_id	ensembl_gene_id	external_gene_name	chromosome_name	CHR	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUST00000103523	ENSMUSG00000093894	Ighv1-53	12	12	Ighv1-53	ENSMUSG00000093894	-4.0124141459885	4.95907563642126	-15.3539867337005	9.75826551474912e-07	0.0212456956787118	3.97176427456315
ENSMUST00000103328	ENSMUSG00000094420	Igkv10-96	6	6	Igkv10-96	ENSMUSG00000094420	-1.93782498147707	5.60825200174241	-11.8501548740023	5.8429889137225e-06	0.0636067773147832	3.98972268971286
ENSMUST00000081654	ENSMUSG00000001435	Col18a1	10	10	Col18a1	ENSMUSG00000001435	0.899059895200557	4.99458819342664	9.0836384656415	3.51706761991956e-05	0.242732846290481	2.66188572005236
ENSMUST00000030528	ENSMUSG00000041202	Pla2g2d	4	4	Pla2g2d	ENSMUSG00000041202	1.36280396135831	4.33196359454648	8.6599950289429	4.82511392178141e-05	0.242732846290481	2.16152506812864
ENSMUST00000196991	ENSMUSG00000095127	Ighv1-82	12	12	Ighv1-82	ENSMUSG00000095127	-2.41046455412043	4.09162878699416	-8.06913341752114	7.67057557118503e-05	0.242732846290481	1.73742654499353
ENSMUST00000195124	ENSMUSG00000076672	Ighv3-6	12	12	Ighv3-6	ENSMUSG00000076672	-2.13162242200161	5.55996581662442	-7.99678290588535	8.13419378890655e-05	0.242732846290481	1.97373794740045
ENSMUST00000103342	ENSMUSG00000076541	Igkv4-79	6	6	Igkv4-79	ENSMUSG00000076541	-8.55873330645882	-2.86552531912552	-7.92439149195081	8.62990330755123e-05	0.242732846290481	-4.03276623041929
ENSMUST00000103444	ENSMUSG00000095612	Ighv5-4	12	12	Ighv5-4	ENSMUSG00000095612	-4.69851496819032	2.04698505686021	-7.88429134022301	8.91908308985783e-05	0.242732846290481	-0.567499002762182
ENSMUST00000105286	ENSMUSG00000019932	Kera	10	10	Kera	ENSMUSG00000019932	1.37135457491318	4.48477598788266	7.4068388318318	0.000133493366589369	0.322935286375972	1.54837431054867
ENSMUST00000054930	ENSMUSG00000044172	Ptx4	17	17	Ptx4	ENSMUSG00000044172	1.77289060253019	2.41498186930173	6.52623904499523	0.000297371342173753	0.647436886180694	0.395762988911423
ENSMUST00000078869	ENSMUSG00000071177	Serpina1d	12	12	Serpina1d	ENSMUSG00000071177	-8.96327395277087	-1.91631412623366	-6.31180151183378	0.000365898173866932	0.669791225099201	-3.89348036478619
ENSMUST00000029900	ENSMUSG00000028238	Atp6v0d2	4	4	Atp6v0d2	ENSMUSG00000028238	0.885939479864622	6.7331942276373	6.30111494703907	0.000369749060981376	0.669791225099201	0.690011765407137
ENSMUST00000229271	ENSMUSG00000034161	Scx	15	15	Scx	ENSMUSG00000034161	0.94672229912293	2.7554832276017	6.16955519479247	0.000421063650144835	0.669791225099201	0.0762513470969699
ENSMUST00000103443	ENSMUSG00000096464	Ighv2-2	12	12	Ighv2-2	ENSMUSG00000096464	-1.31687789713564	3.87783306456491	-6.08093207075705	0.000460108505670939	0.669791225099201	0.33740415415536
ENSMUST00000061427	ENSMUSG00000043635	Adamts3	5	5	Adamts3	ENSMUSG00000043635	0.882039894202327	3.35413641259084	6.0078864106032	0.000495343335385174	0.669791225099201	0.164879911538586
ENSMUST00000020664	ENSMUSG00000020395	Itk	11	11	Itk	ENSMUSG00000020395	-1.03349493546206	4.53589365624196	-5.99718650344761	0.00050075319499568	0.669791225099201	0.347359166056391
ENSMUST00000140079	ENSMUSG00000033740	St18	1	1	St18	ENSMUSG00000033740	1.01919912046387	3.43489960649632	5.95452910458491	0.000522985983220945	0.669791225099201	0.0997479446308231
ENSMUST00000200884	ENSMUSG00000037379	Spon2	5	5	Spon2	ENSMUSG00000037379	0.968859843169136	3.67333152123939	5.86876832165422	0.000571096747057837	0.690773243163513	0.126629413986595
