.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
260_Cort_22YMFCLT3_R1_merged	1	1	0.5	1	0.25	1	1	1	0.25	0.25	0.25
260_Cort_22YMFCLT3_R2_merged	1	1	1	1	0.25	1	1	1	0.25	0.25	0.25
985_Cort_22YMFCLT3_R1_merged	1	1	0.5	1	0.25	1	1	1	0.25	0.25	0.25
985_Cort_22YMFCLT3_R2_merged	1	1	1	1	0.25	1	1	1	0.25	0.25	0.25
Tube1_Cort_22YMFCLT3_R1_merged	1	1	0.5	1	0.25	1	1	1	0.25	0.5	0.25
Tube1_Cort_22YMFCLT3_R2_merged	1	1	1	1	0.25	1	1	1	0.25	0.5	0.25
Tube2_Cort_22YMFCLT3_R1_merged	1	1	0.5	1	0.25	1	1	1	0.25	0.5	0.25
Tube2_Cort_22YMFCLT3_R2_merged	1	1	1	1	0.25	1	1	1	0.25	0.5	0.25
Tube3_Cort_22YMFCLT3_R1_merged	1	1	0.5	1	0.25	1	1	1	0.25	0.5	0.25
Tube3_Cort_22YMFCLT3_R2_merged	1	1	1	1	0.25	1	1	1	0.25	0.5	0.25
Tube4_Cort_22YMFCLT3_R1_merged	1	1	0.5	1	0.25	1	1	1	0.25	0.25	0.25
Tube4_Cort_22YMFCLT3_R2_merged	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
