Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
260_Cort_22YMFCLT3_R1_merged - nextera_transposase_sequence	(1, 0.004081453208859628)	(2, 2.0469900063141155)	(3, 2.0472255268287105)	(4, 2.0472778647208423)	(5, 2.047347347784535)	(6, 2.0473635905786454)	(7, 2.0473879547698104)	(8, 2.047398783299217)	(9, 2.0474484140589975)	(10, 2.047491276987899)	(12, 2.0475711373922727)	(14, 2.047873433838209)	(16, 2.048332743960541)	(18, 2.048630077330499)	(20, 2.0488746216195994)	(22, 2.050577407868796)	(24, 2.0527530399020844)	(26, 2.056049875917686)	(28, 2.0600920757074466)	(30, 2.0645868177886606)	(32, 2.070728849905862)	(34, 2.0836445783556536)	(36, 2.1100377652182076)	(38, 2.126320715124745)	(40, 2.1378503918104843)	(42, 2.148391965187866)	(44, 2.1621568308186303)	(46, 2.1797969564108017)	(48, 2.196340693400549)	(50, 2.215272121124465)	(52, 2.238283197302339)	(54, 2.2609513700490025)	(56, 2.2784556878348656)	(58, 2.294192699383817)	(60, 2.30958184442558)	(62, 2.3260809137315244)	(64, 2.3439299397034996)	(66, 2.3643408152576004)	(68, 2.387063130651297)	(70, 2.4133390084452784)	(72, 2.4441448210410455)	(74, 2.481715306194897)	(76, 2.5283050539670446)	(78, 2.5842195191245003)	(80, 2.6506376578064152)	(82, 2.7318746389813415)	(84, 2.8312412855153655)	(86, 2.9527130212669066)	(88, 3.1008382797754868)	(90, 3.271710217868929)	(92, 3.471882351781887)	(94, 3.7076365821363986)	(96, 3.9873036575559873)	(98, 4.313446330000228)	(100, 4.679207433222354)	(102, 5.081264864638149)	(104, 5.530271190051412)	(106, 6.037182625278055)	(108, 6.603188052609183)	(110, 7.215754802822767)	(112, 7.864490194820766)	(114, 8.541492560457394)	(116, 9.266647140421806)	(118, 10.050634023030044)	(120, 10.877762217983133)	(122, 11.732717928756434)	(124, 12.613152718034875)	(126, 13.536389976925488)	(128, 14.509848601638001)	(130, 15.53068384725955)	(132, 16.55496211404369)	(134, 17.568773253590116)	(136, 18.588498574947483)	(138, 19.64064000146113)
260_Cort_22YMFCLT3_R1_merged - polya	(1, 0.0)	(2, 0.0006885139947733576)	(3, 0.002517633087048057)	(4, 0.005201303624998209)	(5, 0.010347562225512572)	(6, 0.015187012492838282)	(7, 0.020241228593396048)	(8, 0.026775343712863785)	(9, 0.03723028885499238)	(10, 0.061829098157117846)	(12, 0.0814562588954113)	(14, 0.09568584891321089)	(16, 0.10915292998529161)	(18, 0.1231402316576172)	(20, 0.1353169129754045)	(22, 0.14675003527393454)	(24, 0.15820842414108016)	(26, 0.17036299721132883)	(28, 0.18192335473038712)	(30, 0.19426156161182373)	(32, 0.20732843828458336)	(34, 0.21885901734777335)	(36, 0.2301360283473574)	(38, 0.24194318609914248)	(40, 0.25615653332283206)	(42, 0.2702137692475757)	(44, 0.2829427055651025)	(46, 0.2937892825207719)	(48, 0.3045384027117814)	(50, 0.3155058982458252)	(52, 0.32669628101015596)	(54, 0.33765565514714474)	(56, 0.34834160891661536)	(58, 0.35992091636213536)	(60, 0.3731100651794451)	(62, 0.38628793427862307)	(64, 0.40025944434556393)	(66, 0.4160244295954826)	(68, 0.4328524154821549)	(70, 0.4470197414558662)	(72, 0.4591670955065104)	(74, 0.4720210111009391)	(76, 0.48468632980820187)	(78, 0.49533754204582614)	(80, 0.5074785794543164)	(82, 0.5196859416054226)	(84, 0.5325655749571921)	(86, 0.5449042330273539)	(88, 0.5584457602391055)	(90, 0.5699781440571966)	(92, 0.5814081080346497)	(94, 0.5923336430172427)	(96, 0.6030999083798128)	(98, 0.6135611701640952)	(100, 0.6234530317770776)	(102, 0.6331522358043664)	(104, 0.6421317938148379)	(106, 0.6515963797049824)	(108, 0.6608313105339609)	(110, 0.6696073824293323)	(112, 0.6781916991164606)	(114, 0.6868333167716992)	(116, 0.6951527856770897)	(118, 0.7032286126708305)	(120, 0.7124071449091491)	(122, 0.7215698855420831)	(124, 0.7302092472536954)	(126, 0.7397293293570493)	(128, 0.7496464575386471)	(130, 0.7588791324239992)	(132, 0.7687060228605416)	(134, 0.7781787301477412)	(136, 0.790351350767001)	(138, 0.7988783664860191)
260_Cort_22YMFCLT3_R1_merged - polyg	(1, 0.0)	(2, 0.0)	(3, 0.007806467324750087)	(4, 0.009469548966122694)	(5, 0.012190216979545594)	(6, 0.013648458939642246)	(7, 0.015103993767387235)	(8, 0.01613541119337144)	(9, 0.017431225212368215)	(10, 0.019476012515325526)	(12, 0.022588763531014515)	(14, 0.025693393149648507)	(16, 0.028685676775688423)	(18, 0.031367542558737464)	(20, 0.033782304616422267)	(22, 0.03549772414992705)	(24, 0.037235703119695714)	(26, 0.03882208267777115)	(28, 0.04050682137795708)	(30, 0.04218659700216495)	(32, 0.043635815187756055)	(34, 0.04478950475829044)	(36, 0.04609344017434221)	(38, 0.04729856525955822)	(40, 0.04855286991582948)	(42, 0.04986763386128791)	(44, 0.051459878872791964)	(46, 0.05289781734025113)	(48, 0.05570646715510313)	(50, 0.259864402267162)	(52, 0.26454097340466254)	(54, 0.26579166855113157)	(56, 0.26701168286428173)	(58, 0.2684590962949718)	(60, 0.2698487575688262)	(62, 0.2717455549698925)	(64, 0.27471573034839386)	(66, 0.27790608582483056)	(68, 0.3198697955967085)	(70, 0.5105917816587308)	(72, 0.6196228906881974)	(74, 1.1675103835670857)	(76, 1.9317816724468755)	(78, 2.0849760362839476)	(80, 2.1175762264401428)	(82, 2.135463152265041)	(84, 2.1496155890108186)	(86, 2.1606196308316097)	(88, 2.1696370886950045)	(90, 2.1760656256527575)	(92, 2.181439734559537)	(94, 2.1867529329884037)	(96, 2.192243448586305)	(98, 2.1983453249069567)	(100, 2.205354541754142)	(102, 2.213416833086124)	(104, 2.222502871635761)	(106, 2.233496987304596)	(108, 2.2517074154455186)	(110, 2.272944868744327)	(112, 2.2902858562116397)	(114, 2.305352852503554)	(116, 2.320692817974262)	(118, 2.339254722132175)	(120, 2.360151076754674)	(122, 2.3831666648198007)	(124, 2.409549023152948)	(126, 2.4393401123055662)	(128, 2.469207452352756)	(130, 2.498479674471305)	(132, 2.528397547655726)	(134, 2.5603286249323354)	(136, 2.594091979622296)	(138, 2.630616158122229)
260_Cort_22YMFCLT3_R2_merged - nextera_transposase_sequence	(1, 0.0040128725226174595)	(2, 2.0688934141714337)	(3, 2.0691063752497647)	(4, 2.06914788461249)	(5, 2.069188491597765)	(6, 2.0691975153722706)	(7, 2.0692182700536335)	(8, 2.069230903337941)	(9, 2.0692462437546006)	(10, 2.069272863889392)	(12, 2.069315275629568)	(14, 2.069569294881899)	(16, 2.0699992777370886)	(18, 2.0702731492933317)	(20, 2.07051318169518)	(22, 2.0722304059835857)	(24, 2.0743329454433783)	(26, 2.077586467341354)	(28, 2.0816052053174)	(30, 2.085957822950151)	(32, 2.092274465104035)	(34, 2.104090646630326)	(36, 2.1297971242530074)	(38, 2.1449236774566582)	(40, 2.155783790074086)	(42, 2.165477579836672)	(44, 2.177938961240109)	(46, 2.1942891382667127)	(48, 2.209234313602802)	(50, 2.225419355555954)	(52, 2.2453637019681176)	(54, 2.263991930868647)	(56, 2.277469389281409)	(58, 2.2907356913707413)	(60, 2.304016882688008)	(62, 2.3195905639184087)	(64, 2.3371526338611073)	(66, 2.3573888993785257)	(68, 2.3799460796987706)	(70, 2.406107806745257)	(72, 2.436778713912166)	(74, 2.474159699801401)	(76, 2.520541449571196)	(78, 2.576186555059661)	(80, 2.6424206087416624)	(82, 2.723395900455928)	(84, 2.82227165365685)	(86, 2.9432682876806746)	(88, 3.0907790271454267)	(90, 3.260901089577457)	(92, 3.4602574742751138)	(94, 3.6949811895810925)	(96, 3.9732225086288038)	(98, 4.29777203368409)	(100, 4.661640851392402)	(102, 5.061352101436754)	(104, 5.5079238124884204)	(106, 6.01210600711586)	(108, 6.5749287491788815)	(110, 7.184179713450401)	(112, 7.830059080817394)	(114, 8.504528924139041)	(116, 9.226914558896425)	(118, 10.008289058785307)	(120, 10.833100399634096)	(122, 11.685663907785976)	(124, 12.563314411440732)	(126, 13.484409426263724)	(128, 14.456510875290606)	(130, 15.476661667615907)	(132, 16.501386611238072)	(134, 17.51630135840653)	(136, 18.537785413415023)	(138, 19.59312396323599)
260_Cort_22YMFCLT3_R2_merged - polya	(1, 9.023774505548593e-07)	(2, 0.014637464625450371)	(3, 0.022018009793538566)	(4, 0.025739414399626806)	(5, 0.029761310696749813)	(6, 0.03309649775400057)	(7, 0.03521979189515616)	(8, 0.037550632849939355)	(9, 0.04248844225937555)	(10, 0.05310491296515347)	(12, 0.061235784983378026)	(14, 0.06779381310528547)	(16, 0.07560659707218943)	(18, 0.0848907074722231)	(20, 0.09290291685569971)	(22, 0.10020901588411713)	(24, 0.10791125861332812)	(26, 0.11620681451627894)	(28, 0.12355758122849883)	(30, 0.13125531207045704)	(32, 0.13891559424821726)	(34, 0.146584900200483)	(36, 0.15418382071160547)	(38, 0.16206473417602635)	(40, 0.16989150499341393)	(42, 0.1773004750511946)	(44, 0.18497609764561423)	(46, 0.19238957959064765)	(48, 0.19991495633954992)	(50, 0.20704825008618608)	(52, 0.21376329188449006)	(54, 0.22090019514092843)	(56, 0.22783316109354143)	(58, 0.2345861027447687)	(60, 0.24170721439582238)	(62, 0.24865687433127065)	(64, 0.25585874876414894)	(66, 0.2626522974006512)	(68, 0.26989883951733207)	(70, 0.2771968171486945)	(72, 0.2845128423290679)	(74, 0.29192497070792556)	(76, 0.29920941267752965)	(78, 0.30653040093388123)	(80, 0.3135793223888905)	(82, 0.32089850589034097)	(84, 0.3285542761808484)	(86, 0.3359447475008927)	(88, 0.34323550611265075)	(90, 0.35142503266516134)	(92, 0.359495896582924)	(94, 0.36703932088083735)	(96, 0.37465132586499283)	(98, 0.3825236667436335)	(100, 0.39123251151893834)	(102, 0.399290290963668)	(104, 0.4071856424672977)	(106, 0.41500519426508087)	(108, 0.42263930749677503)	(110, 0.42954339737097025)	(112, 0.4363847720123519)	(114, 0.4437617076706379)	(116, 0.4508552968094496)	(118, 0.4578130781419528)	(120, 0.4648010891190497)	(122, 0.47200837781663135)	(124, 0.4796131637811824)	(126, 0.48697746615516063)	(128, 0.4939844270587191)	(130, 0.5006967617246714)	(132, 0.5079473645398798)	(134, 0.5146700765465134)	(136, 0.5210458244234089)	(138, 0.5269798585382575)
260_Cort_22YMFCLT3_R2_merged - polyg	(1, 0.03036229407881935)	(2, 0.033618974297871834)	(3, 0.036660888683692265)	(4, 0.037371059737278944)	(5, 0.04049328571619876)	(6, 0.041672693044073957)	(7, 0.042486637504474435)	(8, 0.04331592238153435)	(9, 0.04423003073894643)	(10, 0.045450496240821876)	(12, 0.047755619438264264)	(14, 0.04921927566306424)	(16, 0.050335967758125884)	(18, 0.051251429681713784)	(20, 0.05204371708330095)	(22, 0.05267583248741463)	(24, 0.05327681586948417)	(26, 0.05385298387166344)	(28, 0.05452299912870043)	(30, 0.055147444324484395)	(32, 0.055720905194312005)	(34, 0.05707762969122124)	(36, 0.057633494200763025)	(38, 0.058237635903909506)	(40, 0.058815157472264616)	(42, 0.05940486113620222)	(44, 0.05996974942024956)	(46, 0.0605386984028244)	(48, 0.06111531759372896)	(50, 0.06168877846355657)	(52, 0.06232540575492301)	(54, 0.06298323891637751)	(56, 0.06362437809499674)	(58, 0.06422445909961572)	(60, 0.06491658260419131)	(62, 0.06570345574107514)	(64, 0.06646731825296982)	(66, 0.0671675631546004)	(68, 0.06790570790915426)	(70, 0.06860189211225734)	(72, 0.06936936413395425)	(74, 0.0704657527363784)	(76, 0.0747615205897448)	(78, 0.5773329714679439)	(80, 2.0897085548233827)	(82, 2.1297723088731173)	(84, 2.144864571733647)	(86, 2.1549716503685867)	(88, 2.162358060990104)	(90, 2.1696262601655976)	(92, 2.1748641100773436)	(94, 2.177910987539142)	(96, 2.180289203310079)	(98, 2.1826786987991484)	(100, 2.1858338615550137)	(102, 2.1899514098618953)	(104, 2.1943405737813944)	(106, 2.1996659543058437)	(108, 2.205496215013879)	(110, 2.2131826661377048)	(112, 2.231966555148455)	(114, 2.2549492064366365)	(116, 2.2702963909269487)	(118, 2.282798830504386)	(120, 2.2950328127902835)	(122, 2.3119284769857478)	(124, 2.3304912835211113)	(126, 2.3500800932177563)	(128, 2.372922876001102)	(130, 2.4001223371157265)	(132, 2.4260052295299914)	(134, 2.4493483806096696)	(136, 2.4710085977440635)	(138, 2.491880136986672)
985_Cort_22YMFCLT3_R1_merged - nextera_transposase_sequence	(1, 0.004918126671605247)	(2, 1.3985642755121883)	(3, 1.3988245922358271)	(4, 1.3988550188658628)	(5, 1.398914181757599)	(6, 1.3989319306251198)	(7, 1.3989522150451437)	(8, 1.3989640476234908)	(9, 1.398991093516856)	(10, 1.3990219427389756)	(12, 1.3991085741161604)	(14, 1.399453831848649)	(16, 1.3998536039599516)	(18, 1.4001515313790511)	(20, 1.4004414295485579)	(22, 1.401983890654535)	(24, 1.4040474077998732)	(26, 1.4073871530383761)	(28, 1.4116781530575788)	(30, 1.4165861375191722)	(32, 1.4237896421801262)	(34, 1.4436455538309292)	(36, 1.4835483887544259)	(38, 1.505720527616697)	(40, 1.5220046909749747)	(42, 1.535977275634706)	(44, 1.5535393574544838)	(46, 1.5774234168483474)	(48, 1.5998216424754674)	(50, 1.6244029788076493)	(52, 1.6546060576310124)	(54, 1.6817960548966724)	(56, 1.7001268317169353)	(58, 1.7168196416202761)	(60, 1.7327112169326764)	(62, 1.7500742578809705)	(64, 1.7680665384420862)	(66, 1.7881738923827677)	(68, 1.8096626998454868)	(70, 1.8340821834095622)	(72, 1.8618621192242482)	(74, 1.8959919236905527)	(76, 1.9381120992779017)	(78, 1.9880210695623082)	(80, 2.047236785308887)	(82, 2.1195165127349647)	(84, 2.2081019557155948)	(86, 2.316346805028048)	(88, 2.4471906112074393)	(90, 2.596987672346575)	(92, 2.774653413638)	(94, 2.9859655140518293)	(96, 3.237251444859238)	(98, 3.5299226636202174)	(100, 3.8546977803976237)	(102, 4.212723710106969)	(104, 4.614366636564587)	(106, 5.068517897214246)	(108, 5.575035078523694)	(110, 6.119967993213645)	(112, 6.692262477555289)	(114, 7.300710982444781)	(116, 7.957721656647516)	(118, 8.671937353461969)	(120, 9.419789689780899)	(122, 10.185361312174791)	(124, 10.977459462262729)	(126, 11.809372970712815)	(128, 12.693172335215458)	(130, 13.61936656015994)	(132, 14.544678412833385)	(134, 15.467854485115158)	(136, 16.412250596294335)	(138, 17.390153611208248)
985_Cort_22YMFCLT3_R1_merged - polya	(1, 8.451841676585748e-07)	(2, 0.0009821040028192638)	(3, 0.0034644099032324982)	(4, 0.006476646276767659)	(5, 0.012162200172606892)	(6, 0.017449672325478935)	(7, 0.02284448286764362)	(8, 0.02974625678074354)	(9, 0.0405544719167614)	(10, 0.0657291275346397)	(12, 0.08594424245669749)	(14, 0.10099274656185842)	(16, 0.11559583861066328)	(18, 0.1305315106294418)	(20, 0.14359805786144336)	(22, 0.1558764708571033)	(24, 0.16865396510376562)	(26, 0.18186926474927512)	(28, 0.19436996118102925)	(30, 0.208302399592797)	(32, 0.22270602817803445)	(34, 0.23510487991758577)	(36, 0.24726243157727051)	(38, 0.26030911698133213)	(40, 0.2757307698965143)	(42, 0.29008495520794375)	(44, 0.30333955591724926)	(46, 0.31465276859344316)	(48, 0.32621911392785075)	(50, 0.3380233786054543)	(52, 0.3500989474008761)	(54, 0.3617569952174747)	(56, 0.37329756243476864)	(58, 0.3856473934925958)	(60, 0.40016258638796415)	(62, 0.41445338288681915)	(64, 0.42974530003226574)	(66, 0.4463654240971878)	(68, 0.4638260838168463)	(70, 0.4787807724793971)	(72, 0.49173068429626177)	(74, 0.5051006526444528)	(76, 0.51833665930207)	(78, 0.530374617402031)	(80, 0.5431766219895555)	(82, 0.5558264934269013)	(84, 0.5697090659727773)	(86, 0.5829171815528615)	(88, 0.5970638741511308)	(90, 0.6093503163963836)	(92, 0.6216536623249894)	(94, 0.6338543183772247)	(96, 0.6455339183900985)	(98, 0.6565707558434681)	(100, 0.6674317949899646)	(102, 0.6775972475664781)	(104, 0.687219669315271)	(106, 0.697121847023559)	(108, 0.70730800661218)	(110, 0.7170677707882174)	(112, 0.7269500866685652)	(114, 0.7367001312266745)	(116, 0.7460237803722002)	(118, 0.7549599125768542)	(120, 0.7643769545729061)	(122, 0.7738865442353167)	(124, 0.7834240249752598)	(126, 0.7935899001438571)	(128, 0.8040228535094345)	(130, 0.8144177735874674)	(132, 0.8245760420985557)	(134, 0.834588938932807)	(136, 0.8472143000292907)	(138, 0.8562117080861)
985_Cort_22YMFCLT3_R1_merged - polyg	(1, 0.0)	(2, 0.0)	(3, 0.008068128064468756)	(4, 0.009963876152526939)	(5, 0.013113032361222788)	(6, 0.014702823780588568)	(7, 0.016169218311476195)	(8, 0.017326275437000785)	(9, 0.018801121809564995)	(10, 0.021061566865967857)	(12, 0.02444568427327279)	(14, 0.0277761324859314)	(16, 0.031041501517680307)	(18, 0.03403091791868869)	(20, 0.03663788848383156)	(22, 0.03862026794907475)	(24, 0.040549823403839266)	(26, 0.04223385285789898)	(28, 0.04410635838134656)	(30, 0.04603422346777576)	(32, 0.04764387671508152)	(34, 0.04900166508042502)	(36, 0.05049256995217474)	(38, 0.05178274358410556)	(40, 0.05306488796644362)	(42, 0.054620026834935394)	(44, 0.05630363369691128)	(46, 0.05785285627622945)	(48, 0.0599328545128372)	(50, 0.13663585328035582)	(52, 0.13831734718191258)	(54, 0.13944735841407208)	(56, 0.1406166707100277)	(58, 0.14184514589771946)	(60, 0.1431543361734226)	(62, 0.14479188049826108)	(64, 0.14667114749504992)	(66, 0.14882171860965718)	(68, 0.15559460193718916)	(70, 0.2221393321936194)	(72, 0.270176642138746)	(74, 0.5474456472203988)	(76, 1.22946194020748)	(78, 1.4438796698453704)	(80, 1.4775057445477509)	(82, 1.4923184422701348)	(84, 1.5032787905563314)	(86, 1.511492712889721)	(88, 1.51864930982937)	(90, 1.5238852257480149)	(92, 1.5283647018366056)	(94, 1.5328893952781657)	(96, 1.537589887026599)	(98, 1.5431351403506066)	(100, 1.549848015602235)	(102, 1.5574812964124434)	(104, 1.5664918048238514)	(106, 1.5778189630388115)	(108, 1.6006727429322996)	(110, 1.6333146006714414)	(112, 1.6583624786641709)	(114, 1.6781516207657288)	(116, 1.6963133607524599)	(118, 1.7179657113516211)	(120, 1.7439441371129427)	(122, 1.771562642751606)	(124, 1.8026620393847708)	(126, 1.8373513557700654)	(128, 1.871290993798647)	(130, 1.90145434896613)	(132, 1.930338095303778)	(134, 1.960048431757396)	(136, 1.9910037244899752)	(138, 2.0239485807532227)
985_Cort_22YMFCLT3_R2_merged - nextera_transposase_sequence	(1, 0.004867415621545732)	(2, 1.416227779432085)	(3, 1.416455133973185)	(4, 1.4164720376565383)	(5, 1.4165092257599152)	(6, 1.416526974627436)	(7, 1.4165523301524658)	(8, 1.4165734597566573)	(9, 1.4166005056500224)	(10, 1.416626283767136)	(12, 1.4166913629480455)	(14, 1.4169482989350137)	(16, 1.4173066570221011)	(18, 1.4175952874153566)	(20, 1.4178868759531986)	(22, 1.4194352533483492)	(24, 1.421425662063185)	(26, 1.4247092025545387)	(28, 1.4289380815374184)	(30, 1.433578142617864)	(32, 1.4407753083975607)	(34, 1.4594969828953657)	(36, 1.498759168219777)	(38, 1.5194750547611726)	(40, 1.534938544292654)	(42, 1.5480790451393256)	(44, 1.5642778448966699)	(46, 1.5870407674921343)	(48, 1.6080828951222461)	(50, 1.6307008686329572)	(52, 1.6589131161494004)	(54, 1.6835908034766955)	(56, 1.6993716596631327)	(58, 1.714220700304726)	(60, 1.7285998185491014)	(62, 1.745290515492023)	(64, 1.7630279730265896)	(66, 1.7830470052217506)	(68, 1.8043545206805072)	(70, 1.8286032770427156)	(72, 1.8562534770876657)	(74, 1.8901969184450018)	(76, 1.9321163627925317)	(78, 1.981820798508365)	(80, 2.040711118350395)	(82, 2.112725457947828)	(84, 2.2009047899358984)	(86, 2.3086759135223787)	(88, 2.4388803378789365)	(90, 2.58804815940525)	(92, 2.7647778592309935)	(94, 2.9750854582615602)	(96, 3.2249045719459977)	(98, 3.5160451621793474)	(100, 3.838924953460779)	(102, 4.194958361494869)	(104, 4.594195048627164)	(106, 5.0455931218506755)	(108, 5.548956921030589)	(110, 6.090471910946528)	(112, 6.65987037173769)	(114, 7.265243674033156)	(116, 7.9192759192290625)	(118, 8.630246954023875)	(120, 9.374788281366001)	(122, 10.137059459585187)	(124, 10.925956052046036)	(126, 11.754389092093701)	(128, 12.634182283641643)	(130, 13.557215519799081)	(132, 14.480892363700193)	(134, 15.401816020175154)	(136, 16.3448070126756)	(138, 17.321554660832327)
