Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
260_Cort_22YMFCLT3_R1_merged	(1, 0.0011577502690618845)	(2, 0.08279764297566111)	(3, 0.028723576628611722)	(4, 0.0026638182340379445)	(5, 0.0009249368868187308)	(6, 0.026763612806006573)	(7, 0.009132059799615176)	(8, 4.0606985274968665e-05)	(9, 6.316642153884014e-06)	(10, 0.0066904068939038375)	(15, 0.018717834981369336)	(20, 0.007339577231833002)	(25, 0.014646668875446033)	(30, 0.0007798345927695095)	(35, 0.006049177477539555)	(40, 0.013021667562486842)	(45, 0.013480977684819265)	(50, 5.089408821129406e-05)	(55, 0.020038554618001428)	(60, 0.010072698054073561)	(65, 0.01683764132539323)	(70, 0.012181915107000488)	(75, 0.00021260012735072485)	(80, 0.01859565307456421)	(85, 0.009414142990658625)	(90, 0.0062758546931189355)	(95, 0.005050967541735769)	(100, 0.0014317120630503398)	(105, 0.006071917389293537)	(110, 0.0060953792030079635)	(115, 0.0027340231996911125)	(120, 0.013018419003664843)	(125, 0.007613358550331347)	(130, 0.017215917952665825)	(135, 0.00808764813834298)	(140, 0.009234208927017986)	(145, 0.0054278003650874785)	(150, 0.04634700823794813)
260_Cort_22YMFCLT3_R2_merged	(1, 0.15002837255180035)	(2, 0.021562309181008363)	(3, 0.04948367225607682)	(4, 9.204249995659565e-05)	(5, 0.021670594475074946)	(6, 0.011324837004463484)	(7, 0.03292324128349404)	(8, 0.028614388957094585)	(9, 0.027813077781001873)	(10, 0.028218064780810896)	(15, 0.004088852703954178)	(20, 0.0037917900472315184)	(25, 0.01441457739516332)	(30, 0.0033572050670442983)	(35, 0.008953569539895425)	(40, 0.0020870185676432782)	(45, 0.005128391526993376)	(50, 0.004839991693796043)	(55, 0.004340074586188652)	(60, 0.009321017637761364)	(65, 0.005890900472712232)	(70, 0.01426027085111844)	(75, 0.004698859860529263)	(80, 0.010475880298981473)	(85, 0.006767650403671333)	(90, 0.009384905961260648)	(95, 0.0023580927537899584)	(100, 0.006914737928111775)	(105, 0.015758036943549394)	(110, 0.011135518215337073)	(115, 0.015664911590652135)	(120, 0.01521823475262748)	(125, 0.009050845829065238)	(130, 0.022274284989496147)	(135, 0.005146980502474806)	(140, 0.01033059752944214)	(145, 0.01294117549389735)	(150, 0.0015566011022071324)
985_Cort_22YMFCLT3_R1_merged	(1, 0.0011604378621952233)	(2, 0.08776645952216938)	(3, 0.03006658158028614)	(4, 0.0030959096061333596)	(5, 0.0009930913969988253)	(6, 0.02935493651111762)	(7, 0.009433945679405012)	(8, 4.394957671824589e-05)	(9, 8.451841676585749e-06)	(10, 0.007149412874223883)	(15, 0.01954048891943272)	(20, 0.007535154928343257)	(25, 0.01472970063712011)	(30, 0.0007642155243968833)	(35, 0.006158518956060971)	(40, 0.013350360075501316)	(45, 0.013488632205330258)	(50, 5.3922749896617076e-05)	(55, 0.020304197333329006)	(60, 0.010229094944338199)	(65, 0.017359237619539468)	(70, 0.012223898616845969)	(75, 0.0002249880254307126)	(80, 0.018868060395643555)	(85, 0.00957678180373931)	(90, 0.006293579386052812)	(95, 0.0050139705562177285)	(100, 0.0015066252972681755)	(105, 0.006291212870383368)	(110, 0.006243544483327424)	(115, 0.0027448201028879874)	(120, 0.013171688142458294)	(125, 0.007792767062645591)	(130, 0.01751796320622575)	(135, 0.008151632260233422)	(140, 0.009314098564431026)	(145, 0.005482709695601175)	(150, 0.047942226726265)
985_Cort_22YMFCLT3_R2_merged	(1, 0.1564452798019375)	(2, 0.02414184056499953)	(3, 0.05052172880595897)	(4, 8.113768009522317e-05)	(5, 0.021655308743748002)	(6, 0.011315325636613)	(7, 0.03317770450143735)	(8, 0.029556090343020362)	(9, 0.028871491167216917)	(10, 0.02814260434102816)	(15, 0.0043134819180623025)	(20, 0.0038472783311818324)	(25, 0.014510459864029476)	(30, 0.0034382091940350825)	(35, 0.009073728187148928)	(40, 0.0022828424368458106)	(45, 0.0055325755614930305)	(50, 0.004898349362082036)	(55, 0.004397831297994628)	(60, 0.00952640882734686)	(65, 0.005931671525461409)	(70, 0.014261468608237259)	(75, 0.004724241423544369)	(80, 0.010553814701552623)	(85, 0.006714988212047377)	(90, 0.009312915306596304)	(95, 0.0023452170284190134)	(100, 0.006958232215499514)	(105, 0.0158100150402213)	(110, 0.011494166606489553)	(115, 0.01581897399239848)	(120, 0.015303242613293218)	(125, 0.0090906318705021)	(130, 0.022863753066666236)	(135, 0.005292205184210932)	(140, 0.010475212573960377)	(145, 0.01285981518459228)	(150, 0.0016599417052814412)
Tube1_Cort_22YMFCLT3_R1_merged	(1, 0.0012061995984632692)	(2, 0.08807143095161835)	(3, 0.030627353841292646)	(4, 0.003046789888371328)	(5, 0.0008718585583775017)	(6, 0.02970577276926136)	(7, 0.009586157718561675)	(8, 4.6293374781106274e-05)	(9, 1.1144701336192252e-05)	(10, 0.0073263552014691535)	(15, 0.0198187081146225)	(20, 0.007586626841905151)	(25, 0.014742382384458746)	(30, 0.0007669269088736606)	(35, 0.006188566923515741)	(40, 0.013320661407847881)	(45, 0.01359207774962007)	(50, 5.6923705286397356e-05)	(55, 0.020441096820012928)	(60, 0.010259640593154954)	(65, 0.017319037333386394)	(70, 0.012322096168125057)	(75, 0.00023558184055274086)	(80, 0.018774878241780372)	(85, 0.009627307385033769)	(90, 0.006069061433803033)	(95, 0.005066209770489364)	(100, 0.0015067636206531924)	(105, 0.006229202219156934)	(110, 0.006360023867149468)	(115, 0.002756684739743062)	(120, 0.01310393983109485)	(125, 0.007796661597856466)	(130, 0.017470948185445874)	(135, 0.00824124945269872)	(140, 0.009405956470802628)	(145, 0.005490222792095571)	(150, 0.047936789585835554)
Tube1_Cort_22YMFCLT3_R2_merged	(1, 0.157532925241232)	(2, 0.024243154545090823)	(3, 0.050378336463179824)	(4, 7.458377048067122e-05)	(5, 0.021743312306911084)	(6, 0.011364166224043423)	(7, 0.032904302052748545)	(8, 0.0298086469354416)	(9, 0.028609305614723676)	(10, 0.02804846995209776)	(15, 0.004279393856154191)	(20, 0.003836863484635542)	(25, 0.014505771802244202)	(30, 0.003485376750186402)	(35, 0.008963426099283979)	(40, 0.002281234635046737)	(45, 0.005726147546535579)	(50, 0.004901782561544619)	(55, 0.004301168887995675)	(60, 0.009543464939596876)	(65, 0.005863656015329829)	(70, 0.014232297977148405)	(75, 0.00467957436259531)	(80, 0.01060169719570424)	(85, 0.006739629540354539)	(90, 0.00929022303384986)	(95, 0.002351874895823833)	(100, 0.0069282321783516385)	(105, 0.01588034211935579)	(110, 0.011463782708294618)	(115, 0.01582273258629486)	(120, 0.015322592681715277)	(125, 0.009208952442567475)	(130, 0.022887444491778944)	(135, 0.005271786645906202)	(140, 0.010468989521331734)	(145, 0.012917051762534087)	(150, 0.0015885485827664802)
Tube2_Cort_22YMFCLT3_R1_merged	(1, 0.0012337112069437388)	(2, 0.08777311648175588)	(3, 0.030406963417730585)	(4, 0.00317834258831023)	(5, 0.001020057005587965)	(6, 0.030206544432388002)	(7, 0.009566225059818922)	(8, 6.050384463172359e-05)	(9, 6.6176080065947675e-06)	(10, 0.007298654407730607)	(15, 0.019587363401462617)	(20, 0.007598715662201061)	(25, 0.014700354425849617)	(30, 0.0008151002318980012)	(35, 0.00635214738827308)	(40, 0.013269060351280405)	(45, 0.013734750880430203)	(50, 6.1071068175146e-05)	(55, 0.02042950128893042)	(60, 0.01031533828616545)	(65, 0.01729842732923872)	(70, 0.012374926972332216)	(75, 0.0002563850416269287)	(80, 0.018859993744280615)	(85, 0.009605741633344017)	(90, 0.00633702142711515)	(95, 0.005134507515059643)	(100, 0.0015271548534075982)	(105, 0.0063576305491928305)	(110, 0.0064638904263272946)	(115, 0.002795655771014578)	(120, 0.013272274618026466)	(125, 0.007956066494557178)	(130, 0.017656345385138262)	(135, 0.008313606401427769)	(140, 0.00966303121122968)	(145, 0.0055758074318422775)	(150, 0.04857891500383982)
Tube2_Cort_22YMFCLT3_R2_merged	(1, 0.15931513126847954)	(2, 0.025073171364415205)	(3, 0.05102837533885225)	(4, 6.901219778305971e-05)	(5, 0.021745459909670407)	(6, 0.011660225307619981)	(7, 0.033442554747612846)	(8, 0.030436269967474082)	(9, 0.028933127577404696)	(10, 0.028461386663791728)	(15, 0.004447221654946158)	(20, 0.003895880370739577)	(25, 0.014478002796828034)	(30, 0.0035321010048913384)	(35, 0.009161038375300848)	(40, 0.002414859698863668)	(45, 0.005809692606246784)	(50, 0.004868479673194533)	(55, 0.0044024109950157875)	(60, 0.009450322382446277)	(65, 0.005917465079497041)	(70, 0.014375335335468578)	(75, 0.00481894215040231)	(80, 0.010694243613171618)	(85, 0.0067582794453635246)	(90, 0.009408158765718544)	(95, 0.002397275769017573)	(100, 0.0069638034425969116)	(105, 0.016005157650235628)	(110, 0.011315731542248105)	(115, 0.01614545093997544)	(120, 0.01546799695461461)	(125, 0.009548073906429404)	(130, 0.022845873583909878)	(135, 0.005423980596719545)	(140, 0.010625420489903033)	(145, 0.013117422590672148)	(150, 0.0016818178062474416)
Tube3_Cort_22YMFCLT3_R1_merged	(1, 0.0011959670508005491)	(2, 0.08693589364490652)	(3, 0.029476509438065613)	(4, 0.003008455645946465)	(5, 0.0009459686238838709)	(6, 0.02778478279490487)	(7, 0.009353754702009609)	(8, 6.249960672916952e-05)	(9, 3.1779461048730263e-06)	(10, 0.006963515504997776)	(15, 0.01928526000588513)	(20, 0.007460122549652601)	(25, 0.014650543406538312)	(30, 0.0007961814308075223)	(35, 0.006056741549740672)	(40, 0.01316474767097334)	(45, 0.01356177907100881)	(50, 5.741489296137268e-05)	(55, 0.019940128766562634)	(60, 0.010200783270495098)	(65, 0.016974257598421468)	(70, 0.012209668934922167)	(75, 0.00023834595786547698)	(80, 0.018699458607220203)	(85, 0.009423245790169498)	(90, 0.006241274286896967)	(95, 0.0050982730045109675)	(100, 0.0015304988441068495)	(105, 0.00602644513020755)	(110, 0.0060948769029991485)	(115, 0.0027576097667351544)	(120, 0.013112629354853423)	(125, 0.0077995271936530395)	(130, 0.01724035761893617)	(135, 0.008292956292202992)	(140, 0.009385534163058339)	(145, 0.005528355044037117)	(150, 0.0469975856295989)
Tube3_Cort_22YMFCLT3_R2_merged	(1, 0.15622041530797995)	(2, 0.02382400263286479)	(3, 0.04911303842007604)	(4, 7.09741296754976e-05)	(5, 0.021929946754360465)	(6, 0.011191666865994508)	(7, 0.0327646243412409)	(8, 0.028191559896328617)	(9, 0.027421437623581058)	(10, 0.02792164634048807)	(15, 0.004147431529932958)	(20, 0.003716078311964859)	(25, 0.014489951196705394)	(30, 0.0034620544866486753)	(35, 0.008959477521931694)	(40, 0.0020938427569640082)	(45, 0.005354627323637391)	(50, 0.004803995195199725)	(55, 0.004343404873066795)	(60, 0.009339771739148166)	(65, 0.005868607140332189)	(70, 0.014182114150680027)	(75, 0.004712682210453041)	(80, 0.01041857851021573)	(85, 0.006748686348308359)	(90, 0.009330873490054523)	(95, 0.00231396849049488)	(100, 0.006899744719826657)	(105, 0.015745663634277554)	(110, 0.011209463364181797)	(115, 0.015820027573131584)	(120, 0.015067701798571309)	(125, 0.009253543468169279)	(130, 0.02249350253029128)	(135, 0.005348695157574961)	(140, 0.010535103200727742)	(145, 0.013078307536920795)	(150, 0.0016715996511632119)
