Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
260_Cort_22YMFCLT3_R1_merged	(1, 38.659818554273656)	(2, 38.04591164721315)	(3, 38.69138902347347)	(4, 37.81839545522289)	(5, 37.819014468106424)	(6, 38.360882309297956)	(7, 38.32851881274704)	(8, 38.403928781772755)	(9, 38.52900472134711)	(10, 38.63950777042636)	(15, 38.98736620314184)	(20, 39.10547023015281)	(25, 38.741332969591)	(30, 38.7351460135148)	(35, 38.77219792400488)	(40, 38.75242665358773)	(45, 38.66313702930052)	(50, 38.47468190563204)	(55, 38.26285863141898)	(60, 38.15234935954483)	(65, 38.128189762614454)	(70, 38.101048179989505)	(75, 38.19784260321023)	(80, 38.19879765423733)	(85, 38.14671211015444)	(90, 38.09309580545002)	(95, 38.07467720244077)	(100, 38.0829361146002)	(105, 38.05895176298024)	(110, 38.01163923252726)	(115, 37.948415856533245)	(120, 37.8519076890969)	(125, 37.74302200721736)	(130, 37.57233626929657)	(135, 37.33445264833885)	(140, 37.00879051354409)	(145, 36.49315984176342)	(150, 36.018119504589)
260_Cort_22YMFCLT3_R2_merged	(1, 39.00400188156527)	(2, 38.26095761450096)	(3, 38.635722946733054)	(4, 38.79916283195353)	(5, 38.691081818094204)	(6, 38.97619438047691)	(7, 39.026637875532046)	(8, 38.991054299191475)	(9, 39.052092373275435)	(10, 39.20792860591744)	(15, 39.207150142938396)	(20, 39.232039958139794)	(25, 38.96385476588665)	(30, 38.96431866008644)	(35, 38.87476770007053)	(40, 38.84749089077035)	(45, 38.81008374315407)	(50, 38.769547980726514)	(55, 38.73797013368867)	(60, 38.7127511708979)	(65, 38.6792294367941)	(70, 38.66155780379087)	(75, 38.450926234505594)	(80, 38.53962811148317)	(85, 38.522777371246704)	(90, 38.460727205052244)	(95, 38.4037602212745)	(100, 38.33240618983285)	(105, 38.24147690601338)	(110, 38.162426118297425)	(115, 38.068467564204965)	(120, 37.97511503237026)	(125, 37.881192364024265)	(130, 37.753637420336766)	(135, 37.60811515621255)	(140, 37.39983673826214)	(145, 37.04049893820854)	(150, 36.66970218620429)
985_Cort_22YMFCLT3_R1_merged	(1, 38.84210406299638)	(2, 38.04090956759296)	(3, 38.679448251604704)	(4, 37.727240559563306)	(5, 37.73531183171288)	(6, 38.421171701124486)	(7, 38.42258633657695)	(8, 38.52848943411607)	(9, 38.65154736993562)	(10, 38.77363200180991)	(15, 39.09705103411326)	(20, 39.22873190393083)	(25, 38.86582490718526)	(30, 38.88022890089005)	(35, 38.91593619427498)	(40, 38.90403344535743)	(45, 38.86805066926415)	(50, 38.74826789647049)	(55, 38.55318902523625)	(60, 38.51371303198258)	(65, 38.498104262054156)	(70, 38.44940743461858)	(75, 38.49337211646827)	(80, 38.497839753217036)	(85, 38.450400607153256)	(90, 38.390046867828616)	(95, 38.349463402714164)	(100, 38.33573852124955)	(105, 38.30547782791185)	(110, 38.263086155504695)	(115, 38.20139117990144)	(120, 38.11638534880683)	(125, 38.01932658632954)	(130, 37.875901486956174)	(135, 37.67034309608946)	(140, 37.38815715435551)	(145, 36.93274278287097)	(150, 36.50461602404272)
985_Cort_22YMFCLT3_R2_merged	(1, 39.11499795533046)	(2, 38.33885762608998)	(3, 38.6763522067691)	(4, 38.6634588884841)	(5, 38.668384148510086)	(6, 38.9457808271121)	(7, 38.974630935119876)	(8, 38.986844099897795)	(9, 39.06097374952636)	(10, 39.20648797850609)	(15, 39.22171861641864)	(20, 39.25168274139339)	(25, 38.97053627138282)	(30, 38.9784967297458)	(35, 38.912849615502054)	(40, 38.88598993987428)	(45, 38.84690141285042)	(50, 38.80172147787416)	(55, 38.77717495298747)	(60, 38.73959915349058)	(65, 38.71761466241721)	(70, 38.683587033955305)	(75, 38.547646128285706)	(80, 38.58157094516472)	(85, 38.56163371327405)	(90, 38.5006296148746)	(95, 38.44184850973071)	(100, 38.37155754460071)	(105, 38.28410366799111)	(110, 38.20513252622978)	(115, 38.11781702655285)	(120, 38.02997162344868)	(125, 37.93973334169051)	(130, 37.82193608230498)	(135, 37.684503926928485)	(140, 37.486853194079444)	(145, 37.142106727016866)	(150, 36.78795651101485)
Tube1_Cort_22YMFCLT3_R1_merged	(1, 38.90650184533536)	(2, 38.0598806860277)	(3, 38.68336158929476)	(4, 37.68388152390349)	(5, 37.670888876774505)	(6, 38.44751801971756)	(7, 38.44975198367325)	(8, 38.57445745386387)	(9, 38.67861831867761)	(10, 38.818911354539765)	(15, 39.14303759345229)	(20, 39.27420102371626)	(25, 38.928452366787795)	(30, 38.95118509539192)	(35, 38.998037025458295)	(40, 38.9846121079413)	(45, 38.958418606658405)	(50, 38.846716280190854)	(55, 38.772633061111435)	(60, 38.760575241817946)	(65, 38.73986968637893)	(70, 38.70082203402784)	(75, 38.72381518858365)	(80, 38.69618680871828)	(85, 38.64847069793546)	(90, 38.59076015958904)	(95, 38.54987819570131)	(100, 38.51909947967018)	(105, 38.461594662223014)	(110, 38.405558949593384)	(115, 38.33151330701772)	(120, 38.23292989543072)	(125, 38.124103402562184)	(130, 37.961285838262555)	(135, 37.723142804748065)	(140, 37.39054709004518)	(145, 36.8662463782614)	(150, 36.392326835409506)
Tube1_Cort_22YMFCLT3_R2_merged	(1, 39.171798974517735)	(2, 38.75015235021048)	(3, 38.7965162623782)	(4, 38.85198069761733)	(5, 38.75965130492751)	(6, 39.038606865696686)	(7, 39.08088451310956)	(8, 39.06078034632948)	(9, 39.07350665224222)	(10, 39.23785821781258)	(15, 39.25870000950986)	(20, 39.29519045355857)	(25, 39.03935145176581)	(30, 39.04894943658434)	(35, 38.98847339718212)	(40, 38.97061674288542)	(45, 38.943382954030135)	(50, 38.91566385972504)	(55, 38.89191748109929)	(60, 38.876086906072395)	(65, 38.85776647788886)	(70, 38.82954237087284)	(75, 38.72331944826425)	(80, 38.74239279875351)	(85, 38.7142670874483)	(90, 38.65871621733474)	(95, 38.608600007676124)	(100, 38.54606524703118)	(105, 38.4668622481738)	(110, 38.395877506392964)	(115, 38.31261750362274)	(120, 38.23297977568476)	(125, 38.14649311097573)	(130, 38.036543321370125)	(135, 37.90752286629099)	(140, 37.72350412968194)	(145, 37.397014974046435)	(150, 37.05659527093802)
Tube2_Cort_22YMFCLT3_R1_merged	(1, 38.80349202098931)	(2, 38.0003063952507)	(3, 38.6353465993937)	(4, 37.665212866422394)	(5, 37.653976035675036)	(6, 38.376185452300554)	(7, 38.361244840889164)	(8, 38.49972401738495)	(9, 38.589041475593476)	(10, 38.724883448324356)	(15, 39.06270752700537)	(20, 39.19119624060874)	(25, 38.82043570671449)	(30, 38.82457247557966)	(35, 38.869956496412186)	(40, 38.86043400428757)	(45, 38.84243608822905)	(50, 38.796786894171454)	(55, 38.72509931091604)	(60, 38.72094837280677)	(65, 38.69565386703421)	(70, 38.658512281174374)	(75, 38.654059992322445)	(80, 38.62374632961463)	(85, 38.58132823749786)	(90, 38.52318352852409)	(95, 38.481924913178396)	(100, 38.43628377369512)	(105, 38.37700840668778)	(110, 38.30728345092602)	(115, 38.23208291613254)	(120, 38.1337742122442)	(125, 38.02887665101993)	(130, 37.86842916004725)	(135, 37.646763376137976)	(140, 37.33274645990587)	(145, 36.83942714127975)	(150, 36.38728442881941)
Tube2_Cort_22YMFCLT3_R2_merged	(1, 38.947456041168024)	(2, 38.142701796534986)	(3, 38.506171931014805)	(4, 38.58276737816478)	(5, 38.54453732435852)	(6, 38.8548023253367)	(7, 38.926884166769696)	(8, 38.984882849714445)	(9, 38.98968836757432)	(10, 39.153905524116354)	(15, 39.170525003771566)	(20, 39.19964275126788)	(25, 38.90357463709841)	(30, 38.89554501305474)	(35, 38.8249613753855)	(40, 38.8041698947201)	(45, 38.767668904659764)	(50, 38.735329002228646)	(55, 38.705313464652264)	(60, 38.69097003753186)	(65, 38.66874796993058)	(70, 38.634741439939695)	(75, 38.549362736638805)	(80, 38.539119110534486)	(85, 38.501909121296805)	(90, 38.438551268717404)	(95, 38.382219973411964)	(100, 38.31148833955726)	(105, 38.22463457521319)	(110, 38.14630214587662)	(115, 38.056320011338414)	(120, 37.96761969234514)	(125, 37.87532702186218)	(130, 37.75334763707245)	(135, 37.61574802009204)	(140, 37.417674829309675)	(145, 37.07472086409473)	(150, 36.72033372181213)
Tube3_Cort_22YMFCLT3_R1_merged	(1, 38.85117356359007)	(2, 38.09025358463317)	(3, 38.72522268239117)	(4, 37.78382339416212)	(5, 37.78806614288889)	(6, 38.44778588999133)	(7, 38.4385517319944)	(8, 38.558122695711006)	(9, 38.65654779672255)	(10, 38.7833346133394)	(15, 39.114327492473194)	(20, 39.24164605998136)	(25, 38.90977484739132)	(30, 38.920280132983066)	(35, 38.966547621511786)	(40, 38.948060737838155)	(45, 38.922861981143896)	(50, 38.85287190036114)	(55, 38.78802674483172)	(60, 38.76785586327985)	(65, 38.74284276219702)	(70, 38.70886089551512)	(75, 38.71151499322134)	(80, 38.679067362648155)	(85, 38.633229651076135)	(90, 38.573056940722225)	(95, 38.526798346205325)	(100, 38.483270509929206)	(105, 38.42616018708527)	(110, 38.361394039533266)	(115, 38.28782569736796)	(120, 38.186002753330136)	(125, 38.07733146255414)	(130, 37.914751235569554)	(135, 37.68515815483111)	(140, 37.36450493097533)	(145, 36.85890696831844)	(150, 36.39881346509324)
Tube3_Cort_22YMFCLT3_R2_merged	(1, 38.882082097915614)	(2, 38.56241866444188)	(3, 38.71605737989318)	(4, 38.77615602715381)	(5, 38.706417249874505)	(6, 38.98929943173874)	(7, 39.004170800026955)	(8, 39.011227302234985)	(9, 39.04943793044353)	(10, 39.21377748534083)	(15, 39.223219345420645)	(20, 39.24884082826852)	(25, 38.9910832255992)	(30, 38.99305581488184)	(35, 38.92326349980383)	(40, 38.900466278845656)	(45, 38.859341397788235)	(50, 38.821850807421825)	(55, 38.794543470775196)	(60, 38.76675837018568)	(65, 38.74473164437927)	(70, 38.708311729479156)	(75, 38.63988889730926)	(80, 38.62733325597507)	(85, 38.59975310748574)	(90, 38.538575416167404)	(95, 38.480851499726796)	(100, 38.40988050138752)	(105, 38.32442628909729)	(110, 38.247217601194336)	(115, 38.157805155336206)	(120, 38.06961579923957)	(125, 37.97780035579014)	(130, 37.85233614949499)	(135, 37.70561221680448)	(140, 37.49320618893563)	(145, 37.12218039644962)	(150, 36.74381608234372)
