Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
260_Cort_22YMFCLT3_R1_merged	(0.0, 2.0)	(1.0, 10.5)	(2.0, 24.0)	(3.0, 33.0)	(4.0, 43.0)	(5.0, 63.5)	(6.0, 66.5)	(7.0, 70.0)	(8.0, 113.5)	(9.0, 198.5)	(10.0, 314.0)	(11.0, 468.0)	(12.0, 756.0)	(13.0, 1257.5)	(14.0, 2113.5)	(15.0, 3558.0)	(16.0, 5736.0)	(17.0, 9185.0)	(18.0, 14464.5)	(19.0, 22553.0)	(20.0, 36080.5)	(21.0, 56405.5)	(22.0, 86108.5)	(23.0, 129136.5)	(24.0, 185353.0)	(25.0, 256340.5)	(26.0, 345787.0)	(27.0, 451779.5)	(28.0, 581236.0)	(29.0, 731558.5)	(30.0, 900427.0)	(31.0, 1102041.5)	(32.0, 1317583.0)	(33.0, 1541010.0)	(34.0, 1753861.0)	(35.0, 1969036.5)	(36.0, 2222135.5)	(37.0, 2450579.0)	(38.0, 2634399.5)	(39.0, 2829621.5)	(40.0, 3027606.0)	(41.0, 3214993.5)	(42.0, 3410250.0)	(43.0, 3602778.5)	(44.0, 3780364.0)	(45.0, 3947570.0)	(46.0, 4084639.0)	(47.0, 4209969.0)	(48.0, 4302489.5)	(49.0, 4289001.5)	(50.0, 4272429.0)	(51.0, 4354214.0)	(52.0, 4274655.5)	(53.0, 3933400.0)	(54.0, 3585885.5)	(55.0, 3322647.0)	(56.0, 3066279.5)	(57.0, 2807729.0)	(58.0, 2564136.5)	(59.0, 2280204.5)	(60.0, 2016135.0)	(61.0, 1870051.5)	(62.0, 1802843.5)	(63.0, 1581067.5)	(64.0, 1261090.0)	(65.0, 1030552.0)	(66.0, 903247.5)	(67.0, 813495.5)	(68.0, 730273.5)	(69.0, 691926.5)	(70.0, 670950.5)	(71.0, 634370.5)	(72.0, 593703.0)	(73.0, 489299.0)	(74.0, 363981.5)	(75.0, 315583.5)	(76.0, 287916.5)	(77.0, 235428.0)	(78.0, 164880.0)	(79.0, 132459.0)	(80.0, 86748.0)	(81.0, 38980.5)	(82.0, 26808.5)	(83.0, 23440.0)	(84.0, 20503.5)	(85.0, 26186.5)	(86.0, 17831.0)	(87.0, 2786.0)	(88.0, 1237.5)	(89.0, 640.0)	(90.0, 275.5)	(91.0, 153.5)	(92.0, 142.5)	(93.0, 185.5)	(94.0, 285.0)	(95.0, 453.5)	(96.0, 783.5)	(97.0, 1599.0)	(98.0, 3602.0)	(99.0, 3109.5)	(100.0, 610.5)
260_Cort_22YMFCLT3_R2_merged	(0.0, 4.0)	(1.0, 11.0)	(2.0, 17.0)	(3.0, 28.0)	(4.0, 55.5)	(5.0, 70.5)	(6.0, 81.5)	(7.0, 139.5)	(8.0, 225.0)	(9.0, 294.5)	(10.0, 470.5)	(11.0, 782.0)	(12.0, 1181.0)	(13.0, 1839.5)	(14.0, 3010.5)	(15.0, 4826.0)	(16.0, 7736.5)	(17.0, 12332.5)	(18.0, 19292.0)	(19.0, 30065.0)	(20.0, 45437.5)	(21.0, 68223.5)	(22.0, 102146.0)	(23.0, 148525.0)	(24.0, 208294.5)	(25.0, 284859.5)	(26.0, 387037.5)	(27.0, 510897.0)	(28.0, 651556.0)	(29.0, 815200.5)	(30.0, 1003339.0)	(31.0, 1199843.0)	(32.0, 1394967.0)	(33.0, 1604544.0)	(34.0, 1805717.5)	(35.0, 2001004.0)	(36.0, 2219615.0)	(37.0, 2428340.0)	(38.0, 2623881.5)	(39.0, 2816998.5)	(40.0, 2995550.5)	(41.0, 3166447.5)	(42.0, 3341435.0)	(43.0, 3527862.0)	(44.0, 3735786.0)	(45.0, 3935251.0)	(46.0, 4047563.0)	(47.0, 4107932.5)	(48.0, 4161663.0)	(49.0, 4173791.5)	(50.0, 4165558.0)	(51.0, 4123003.5)	(52.0, 3985951.5)	(53.0, 3796726.5)	(54.0, 3582495.0)	(55.0, 3297041.5)	(56.0, 3001929.0)	(57.0, 2733068.0)	(58.0, 2473082.5)	(59.0, 2236708.5)	(60.0, 2511272.5)	(61.0, 2729808.5)	(62.0, 2046344.0)	(63.0, 1470762.5)	(64.0, 1128814.5)	(65.0, 781781.0)	(66.0, 707269.5)	(67.0, 700300.0)	(68.0, 699923.0)	(69.0, 638426.5)	(70.0, 589382.5)	(71.0, 585747.0)	(72.0, 563191.5)	(73.0, 534942.0)	(74.0, 508605.5)	(75.0, 427984.5)	(76.0, 311614.0)	(77.0, 229614.5)	(78.0, 176031.5)	(79.0, 137652.0)	(80.0, 94686.0)	(81.0, 70181.0)	(82.0, 55435.5)	(83.0, 36474.5)	(84.0, 22369.5)	(85.0, 14931.5)	(86.0, 8095.0)	(87.0, 4696.0)	(88.0, 3021.0)	(89.0, 2009.5)	(90.0, 1514.0)	(91.0, 1321.5)	(92.0, 1257.0)	(93.0, 1280.0)	(94.0, 1394.0)	(95.0, 1604.0)	(96.0, 2014.0)	(97.0, 2601.5)	(98.0, 3431.5)	(99.0, 4451.5)	(100.0, 8443.5)
985_Cort_22YMFCLT3_R1_merged	(0.0, 2.0)	(1.0, 19.5)	(2.0, 48.0)	(3.0, 58.0)	(4.0, 64.5)	(5.0, 74.5)	(6.0, 78.5)	(7.0, 99.0)	(8.0, 146.0)	(9.0, 266.0)	(10.0, 423.5)	(11.0, 615.0)	(12.0, 941.0)	(13.0, 1591.0)	(14.0, 2652.0)	(15.0, 4240.0)	(16.0, 6837.5)	(17.0, 11456.5)	(18.0, 18837.0)	(19.0, 29522.5)	(20.0, 46763.0)	(21.0, 73146.5)	(22.0, 109849.0)	(23.0, 163679.5)	(24.0, 235600.0)	(25.0, 325166.5)	(26.0, 437648.5)	(27.0, 569392.5)	(28.0, 727856.0)	(29.0, 907885.0)	(30.0, 1105427.0)	(31.0, 1337470.0)	(32.0, 1579851.0)	(33.0, 1830420.0)	(34.0, 2066977.5)	(35.0, 2300865.0)	(36.0, 2572007.0)	(37.0, 2823701.0)	(38.0, 3032965.5)	(39.0, 3245565.5)	(40.0, 3462745.5)	(41.0, 3661207.5)	(42.0, 3856222.0)	(43.0, 4044014.5)	(44.0, 4222686.0)	(45.0, 4391204.5)	(46.0, 4516819.5)	(47.0, 4611932.5)	(48.0, 4680170.5)	(49.0, 4661400.5)	(50.0, 4586253.5)	(51.0, 4540885.0)	(52.0, 4404247.5)	(53.0, 4117507.5)	(54.0, 3802426.0)	(55.0, 3496282.5)	(56.0, 3175793.0)	(57.0, 2884396.5)	(58.0, 2644732.0)	(59.0, 2383357.5)	(60.0, 2119357.5)	(61.0, 1895144.0)	(62.0, 1691966.0)	(63.0, 1441831.0)	(64.0, 1137313.0)	(65.0, 845773.0)	(66.0, 663175.5)	(67.0, 564815.0)	(68.0, 498729.5)	(69.0, 483417.0)	(70.0, 483590.5)	(71.0, 470478.0)	(72.0, 461189.5)	(73.0, 389739.0)	(74.0, 298790.0)	(75.0, 258759.0)	(76.0, 233101.5)	(77.0, 192517.0)	(78.0, 134853.5)	(79.0, 113177.5)	(80.0, 75480.0)	(81.0, 33628.5)	(82.0, 24075.5)	(83.0, 21152.0)	(84.0, 17889.5)	(85.0, 22547.0)	(86.0, 15000.5)	(87.0, 1665.5)	(88.0, 799.0)	(89.0, 497.0)	(90.0, 288.5)	(91.0, 217.0)	(92.0, 214.5)	(93.0, 224.0)	(94.0, 300.0)	(95.0, 462.5)	(96.0, 805.0)	(97.0, 1730.0)	(98.0, 4040.0)	(99.0, 3504.0)	(100.0, 676.0)
985_Cort_22YMFCLT3_R2_merged	(0.0, 14.0)	(1.0, 17.5)	(2.0, 21.0)	(3.0, 34.5)	(4.0, 61.0)	(5.0, 79.5)	(6.0, 105.5)	(7.0, 149.0)	(8.0, 238.5)	(9.0, 364.0)	(10.0, 548.5)	(11.0, 879.5)	(12.0, 1456.5)	(13.0, 2320.5)	(14.0, 3722.5)	(15.0, 5959.0)	(16.0, 9791.0)	(17.0, 15786.5)	(18.0, 24689.5)	(19.0, 38520.5)	(20.0, 59060.5)	(21.0, 88334.5)	(22.0, 131243.0)	(23.0, 191039.5)	(24.0, 266925.5)	(25.0, 364827.0)	(26.0, 491118.0)	(27.0, 639379.0)	(28.0, 806352.5)	(29.0, 994204.5)	(30.0, 1208732.0)	(31.0, 1433012.0)	(32.0, 1657637.5)	(33.0, 1894153.5)	(34.0, 2115931.5)	(35.0, 2329995.5)	(36.0, 2567517.0)	(37.0, 2798008.5)	(38.0, 3013133.5)	(39.0, 3218422.5)	(40.0, 3413733.0)	(41.0, 3600186.0)	(42.0, 3783078.5)	(43.0, 3962243.0)	(44.0, 4144679.0)	(45.0, 4323671.5)	(46.0, 4431121.0)	(47.0, 4486623.5)	(48.0, 4526902.0)	(49.0, 4523570.5)	(50.0, 4464503.0)	(51.0, 4352481.0)	(52.0, 4195757.0)	(53.0, 4005444.0)	(54.0, 3776227.0)	(55.0, 3509971.0)	(56.0, 3610956.5)	(57.0, 3575238.5)	(58.0, 2856943.0)	(59.0, 2248529.5)	(60.0, 1937354.0)	(61.0, 1655926.0)	(62.0, 1417235.5)	(63.0, 1247170.5)	(64.0, 996011.5)	(65.0, 751428.5)	(66.0, 664159.0)	(67.0, 625213.5)	(68.0, 598065.5)	(69.0, 537249.5)	(70.0, 500498.5)	(71.0, 496312.0)	(72.0, 474878.0)	(73.0, 444515.5)	(74.0, 414784.5)	(75.0, 350625.0)	(76.0, 258908.5)	(77.0, 194521.0)	(78.0, 152660.5)	(79.0, 122274.0)	(80.0, 86223.0)	(81.0, 62439.5)	(82.0, 49086.5)	(83.0, 31459.0)	(84.0, 18638.5)	(85.0, 12488.0)	(86.0, 6604.0)	(87.0, 3660.0)	(88.0, 2407.0)	(89.0, 1825.0)	(90.0, 1626.0)	(91.0, 1548.5)	(92.0, 1553.5)	(93.0, 1631.5)	(94.0, 1746.0)	(95.0, 1963.5)	(96.0, 2393.0)	(97.0, 3055.5)	(98.0, 3937.0)	(99.0, 4822.5)	(100.0, 7742.0)
Tube1_Cort_22YMFCLT3_R1_merged	(0.0, 5.0)	(1.0, 10.5)	(2.0, 21.0)	(3.0, 23.5)	(4.0, 27.5)	(5.0, 38.5)	(6.0, 46.5)	(7.0, 62.5)	(8.0, 94.5)	(9.0, 138.5)	(10.0, 182.5)	(11.0, 268.0)	(12.0, 425.5)	(13.0, 729.5)	(14.0, 1334.0)	(15.0, 2322.0)	(16.0, 3786.5)	(17.0, 6605.5)	(18.0, 10919.5)	(19.0, 17140.0)	(20.0, 29292.5)	(21.0, 46202.5)	(22.0, 68877.5)	(23.0, 104221.5)	(24.0, 150690.5)	(25.0, 209617.5)	(26.0, 274672.5)	(27.0, 352953.0)	(28.0, 459125.0)	(29.0, 580707.0)	(30.0, 718524.5)	(31.0, 886294.5)	(32.0, 1054186.0)	(33.0, 1229787.0)	(34.0, 1397416.0)	(35.0, 1577858.5)	(36.0, 1820711.0)	(37.0, 2045201.0)	(38.0, 2219296.5)	(39.0, 2415673.5)	(40.0, 2633151.5)	(41.0, 2838255.5)	(42.0, 3051942.0)	(43.0, 3263590.0)	(44.0, 3462460.5)	(45.0, 3679393.0)	(46.0, 3873942.0)	(47.0, 4059602.0)	(48.0, 4252826.5)	(49.0, 4346551.5)	(50.0, 4403079.5)	(51.0, 4539917.0)	(52.0, 4578587.5)	(53.0, 4416951.5)	(54.0, 4208782.0)	(55.0, 4027209.5)	(56.0, 3789792.0)	(57.0, 3553949.0)	(58.0, 3389868.5)	(59.0, 3138913.5)	(60.0, 2817145.0)	(61.0, 2565076.5)	(62.0, 2402875.5)	(63.0, 2144208.5)	(64.0, 1721709.5)	(65.0, 1300655.5)	(66.0, 1055361.0)	(67.0, 951555.5)	(68.0, 912889.5)	(69.0, 930630.5)	(70.0, 973651.0)	(71.0, 980288.0)	(72.0, 974967.0)	(73.0, 821958.0)	(74.0, 618007.0)	(75.0, 533315.5)	(76.0, 478160.5)	(77.0, 393686.0)	(78.0, 268239.5)	(79.0, 222055.0)	(80.0, 144040.5)	(81.0, 57087.0)	(82.0, 38473.5)	(83.0, 33668.5)	(84.0, 29384.0)	(85.0, 35036.5)	(86.0, 22446.5)	(87.0, 2859.0)	(88.0, 1349.5)	(89.0, 775.0)	(90.0, 454.0)	(91.0, 335.5)	(92.0, 346.0)	(93.0, 428.0)	(94.0, 570.0)	(95.0, 848.0)	(96.0, 1458.5)	(97.0, 2996.5)	(98.0, 6880.0)	(99.0, 6024.0)	(100.0, 1208.5)
Tube1_Cort_22YMFCLT3_R2_merged	(0.0, 1.0)	(1.0, 3.5)	(2.0, 5.0)	(3.0, 9.5)	(4.0, 18.0)	(5.0, 29.0)	(6.0, 37.0)	(7.0, 48.5)	(8.0, 88.5)	(9.0, 132.5)	(10.0, 221.0)	(11.0, 396.5)	(12.0, 636.5)	(13.0, 1028.0)	(14.0, 1755.0)	(15.0, 2860.0)	(16.0, 4435.0)	(17.0, 7547.5)	(18.0, 12480.5)	(19.0, 19364.0)	(20.0, 29963.0)	(21.0, 45032.5)	(22.0, 68447.0)	(23.0, 100285.0)	(24.0, 141405.0)	(25.0, 194685.0)	(26.0, 269710.5)	(27.0, 366514.5)	(28.0, 476422.5)	(29.0, 600450.0)	(30.0, 745784.5)	(31.0, 902974.0)	(32.0, 1071144.5)	(33.0, 1240245.5)	(34.0, 1392683.5)	(35.0, 1563488.0)	(36.0, 1769417.5)	(37.0, 1973078.5)	(38.0, 2177141.0)	(39.0, 2386367.5)	(40.0, 2584246.5)	(41.0, 2781979.0)	(42.0, 2980903.0)	(43.0, 3196409.5)	(44.0, 3442370.5)	(45.0, 3682324.0)	(46.0, 3858997.0)	(47.0, 3977409.0)	(48.0, 4103700.5)	(49.0, 4225858.0)	(50.0, 4315366.5)	(51.0, 4385070.5)	(52.0, 4401312.0)	(53.0, 4362442.5)	(54.0, 4247877.0)	(55.0, 4046713.5)	(56.0, 3834479.0)	(57.0, 3807716.5)	(58.0, 3754834.0)	(59.0, 3283791.0)	(60.0, 2796957.5)	(61.0, 2497556.0)	(62.0, 2200318.5)	(63.0, 1987351.5)	(64.0, 1613795.5)	(65.0, 1223881.0)	(66.0, 1108678.5)	(67.0, 1085917.0)	(68.0, 1091961.0)	(69.0, 1004427.0)	(70.0, 948437.5)	(71.0, 971417.0)	(72.0, 932485.5)	(73.0, 873246.0)	(74.0, 843064.5)	(75.0, 718525.0)	(76.0, 524445.5)	(77.0, 383004.5)	(78.0, 288753.0)	(79.0, 224771.5)	(80.0, 145938.0)	(81.0, 100788.0)	(82.0, 78724.0)	(83.0, 50467.5)	(84.0, 29043.5)	(85.0, 19840.0)	(86.0, 10126.0)	(87.0, 5259.5)	(88.0, 3502.0)	(89.0, 2458.0)	(90.0, 1968.0)	(91.0, 1843.5)	(92.0, 1873.5)	(93.0, 1932.5)	(94.0, 2066.0)	(95.0, 2374.5)	(96.0, 2935.0)	(97.0, 3852.0)	(98.0, 5105.0)	(99.0, 5872.5)	(100.0, 7620.5)
Tube2_Cort_22YMFCLT3_R1_merged	(0.0, 7.0)	(1.0, 22.0)	(2.0, 39.5)	(3.0, 53.0)	(4.0, 59.5)	(5.0, 55.5)	(6.0, 60.0)	(7.0, 84.0)	(8.0, 121.5)	(9.0, 176.0)	(10.0, 273.5)	(11.0, 427.0)	(12.0, 614.5)	(13.0, 998.5)	(14.0, 1783.0)	(15.0, 2858.5)	(16.0, 4658.0)	(17.0, 8005.0)	(18.0, 12901.5)	(19.0, 20318.0)	(20.0, 34075.5)	(21.0, 53906.5)	(22.0, 80135.5)	(23.0, 120101.5)	(24.0, 173914.0)	(25.0, 242722.5)	(26.0, 324359.0)	(27.0, 417802.5)	(28.0, 535599.0)	(29.0, 671749.0)	(30.0, 824245.0)	(31.0, 1006471.5)	(32.0, 1190079.0)	(33.0, 1377150.5)	(34.0, 1557735.0)	(35.0, 1749000.0)	(36.0, 1980188.5)	(37.0, 2189038.5)	(38.0, 2365993.0)	(39.0, 2556180.0)	(40.0, 2764798.5)	(41.0, 2957811.5)	(42.0, 3151612.5)	(43.0, 3343894.0)	(44.0, 3521872.5)	(45.0, 3702369.0)	(46.0, 3851579.5)	(47.0, 3988757.0)	(48.0, 4117360.5)	(49.0, 4158986.5)	(50.0, 4148360.0)	(51.0, 4166529.0)	(52.0, 4124360.0)	(53.0, 3962734.0)	(54.0, 3744512.5)	(55.0, 3519869.0)	(56.0, 3257834.0)	(57.0, 2999252.0)	(58.0, 2787352.5)	(59.0, 2535463.0)	(60.0, 2248085.0)	(61.0, 1985544.5)	(62.0, 1758774.0)	(63.0, 1481180.5)	(64.0, 1155753.5)	(65.0, 870074.5)	(66.0, 695703.0)	(67.0, 605165.5)	(68.0, 550869.5)	(69.0, 535790.5)	(70.0, 536991.0)	(71.0, 524191.0)	(72.0, 508541.0)	(73.0, 425208.0)	(74.0, 322405.5)	(75.0, 278136.5)	(76.0, 250463.5)	(77.0, 207836.5)	(78.0, 149489.0)	(79.0, 129344.0)	(80.0, 86302.0)	(81.0, 39091.5)	(82.0, 27701.5)	(83.0, 23447.5)	(84.0, 20619.0)	(85.0, 23170.0)	(86.0, 14360.5)	(87.0, 2269.5)	(88.0, 1021.5)	(89.0, 482.5)	(90.0, 240.5)	(91.0, 166.0)	(92.0, 172.0)	(93.0, 197.0)	(94.0, 270.5)	(95.0, 420.0)	(96.0, 752.0)	(97.0, 1580.5)	(98.0, 3571.5)	(99.0, 3061.0)	(100.0, 634.5)
Tube2_Cort_22YMFCLT3_R2_merged	(0.0, 4.0)	(1.0, 5.0)	(2.0, 11.5)	(3.0, 26.5)	(4.0, 42.0)	(5.0, 57.0)	(6.0, 73.5)	(7.0, 85.0)	(8.0, 130.0)	(9.0, 205.5)	(10.0, 366.5)	(11.0, 572.0)	(12.0, 935.5)	(13.0, 1556.0)	(14.0, 2498.0)	(15.0, 3901.0)	(16.0, 6144.5)	(17.0, 10148.0)	(18.0, 16584.0)	(19.0, 26166.0)	(20.0, 39526.0)	(21.0, 59555.0)	(22.0, 89721.5)	(23.0, 130423.0)	(24.0, 183476.0)	(25.0, 251439.0)	(26.0, 341637.5)	(27.0, 453114.0)	(28.0, 581011.0)	(29.0, 725458.5)	(30.0, 887046.5)	(31.0, 1057191.0)	(32.0, 1229813.0)	(33.0, 1410055.5)	(34.0, 1583548.5)	(35.0, 1760863.0)	(36.0, 1961693.0)	(37.0, 2154218.5)	(38.0, 2344891.0)	(39.0, 2542918.0)	(40.0, 2732151.5)	(41.0, 2915235.5)	(42.0, 3093776.5)	(43.0, 3280373.5)	(44.0, 3478615.0)	(45.0, 3663287.0)	(46.0, 3801777.5)	(47.0, 3892580.0)	(48.0, 3968912.0)	(49.0, 4028046.0)	(50.0, 4047012.5)	(51.0, 4034093.0)	(52.0, 3983022.5)	(53.0, 3890990.5)	(54.0, 3725267.5)	(55.0, 3480833.5)	(56.0, 3223136.5)	(57.0, 2970546.5)	(58.0, 2718151.5)	(59.0, 2561060.5)	(60.0, 2395821.0)	(61.0, 2026215.0)	(62.0, 1663034.0)	(63.0, 1450311.5)	(64.0, 1165666.0)	(65.0, 889204.0)	(66.0, 777086.5)	(67.0, 722645.5)	(68.0, 687719.5)	(69.0, 612423.5)	(70.0, 556971.0)	(71.0, 545313.5)	(72.0, 510372.0)	(73.0, 476842.0)	(74.0, 448784.5)	(75.0, 372008.5)	(76.0, 275697.5)	(77.0, 208336.0)	(78.0, 167282.5)	(79.0, 138539.0)	(80.0, 95144.5)	(81.0, 70170.0)	(82.0, 57738.0)	(83.0, 37061.0)	(84.0, 20839.0)	(85.0, 14096.5)	(86.0, 7710.5)	(87.0, 4349.0)	(88.0, 2797.0)	(89.0, 1875.0)	(90.0, 1425.0)	(91.0, 1283.5)	(92.0, 1263.5)	(93.0, 1293.0)	(94.0, 1336.5)	(95.0, 1547.5)	(96.0, 1816.5)	(97.0, 2235.0)	(98.0, 2866.5)	(99.0, 3835.0)	(100.0, 6855.0)
Tube3_Cort_22YMFCLT3_R1_merged	(0.0, 2.0)	(1.0, 22.0)	(2.0, 35.5)	(3.0, 42.5)	(4.0, 50.5)	(5.0, 44.0)	(6.0, 60.5)	(7.0, 83.5)	(8.0, 109.5)	(9.0, 181.0)	(10.0, 259.0)	(11.0, 355.5)	(12.0, 503.5)	(13.0, 857.0)	(14.0, 1570.0)	(15.0, 2618.5)	(16.0, 4218.5)	(17.0, 7093.5)	(18.0, 11487.0)	(19.0, 18207.5)	(20.0, 30426.0)	(21.0, 47739.5)	(22.0, 71414.5)	(23.0, 107289.0)	(24.0, 154694.5)	(25.0, 215834.0)	(26.0, 286626.5)	(27.0, 367810.5)	(28.0, 470998.0)	(29.0, 587160.0)	(30.0, 716743.5)	(31.0, 876260.0)	(32.0, 1035220.0)	(33.0, 1196341.0)	(34.0, 1352193.0)	(35.0, 1513345.5)	(36.0, 1713530.5)	(37.0, 1893178.0)	(38.0, 2042042.5)	(39.0, 2207419.5)	(40.0, 2388043.5)	(41.0, 2555796.0)	(42.0, 2724098.0)	(43.0, 2893255.5)	(44.0, 3055893.5)	(45.0, 3219177.0)	(46.0, 3350300.0)	(47.0, 3479064.5)	(48.0, 3600486.5)	(49.0, 3645849.0)	(50.0, 3665002.0)	(51.0, 3727292.0)	(52.0, 3703677.0)	(53.0, 3529883.0)	(54.0, 3323136.0)	(55.0, 3132019.5)	(56.0, 2914160.5)	(57.0, 2693782.5)	(58.0, 2503910.0)	(59.0, 2274838.0)	(60.0, 2022521.5)	(61.0, 1813238.0)	(62.0, 1655270.5)	(63.0, 1427827.5)	(64.0, 1124438.0)	(65.0, 859216.5)	(66.0, 700953.5)	(67.0, 616702.5)	(68.0, 565877.5)	(69.0, 552238.5)	(70.0, 555761.0)	(71.0, 548796.5)	(72.0, 537673.0)	(73.0, 449404.5)	(74.0, 335635.0)	(75.0, 290842.5)	(76.0, 267450.5)	(77.0, 222149.0)	(78.0, 156653.0)	(79.0, 133936.5)	(80.0, 88616.0)	(81.0, 38746.5)	(82.0, 26527.5)	(83.0, 22415.5)	(84.0, 20731.0)	(85.0, 24213.5)	(86.0, 15016.0)	(87.0, 2071.5)	(88.0, 944.0)	(89.0, 473.5)	(90.0, 236.0)	(91.0, 163.0)	(92.0, 173.5)	(93.0, 217.5)	(94.0, 265.0)	(95.0, 409.0)	(96.0, 773.5)	(97.0, 1539.5)	(98.0, 3436.0)	(99.0, 2854.0)	(100.0, 454.0)
Tube3_Cort_22YMFCLT3_R2_merged	(0.0, 6.0)	(1.0, 7.0)	(2.0, 8.0)	(3.0, 16.0)	(4.0, 27.0)	(5.0, 30.0)	(6.0, 39.0)	(7.0, 55.0)	(8.0, 102.5)	(9.0, 179.5)	(10.0, 315.5)	(11.0, 497.5)	(12.0, 780.0)	(13.0, 1344.0)	(14.0, 2076.0)	(15.0, 3402.0)	(16.0, 5524.0)	(17.0, 8833.5)	(18.0, 14292.5)	(19.0, 22018.5)	(20.0, 33856.0)	(21.0, 51491.5)	(22.0, 77224.5)	(23.0, 112370.0)	(24.0, 157986.0)	(25.0, 216245.0)	(26.0, 296040.0)	(27.0, 394676.5)	(28.0, 503858.5)	(29.0, 625490.5)	(30.0, 763733.5)	(31.0, 914859.5)	(32.0, 1068610.5)	(33.0, 1220992.5)	(34.0, 1361800.0)	(35.0, 1510152.5)	(36.0, 1686080.0)	(37.0, 1855489.5)	(38.0, 2019320.5)	(39.0, 2192502.5)	(40.0, 2357115.0)	(41.0, 2515976.5)	(42.0, 2673347.5)	(43.0, 2841946.5)	(44.0, 3028399.5)	(45.0, 3201552.5)	(46.0, 3324625.0)	(47.0, 3407253.0)	(48.0, 3481585.5)	(49.0, 3544867.5)	(50.0, 3576916.5)	(51.0, 3584153.5)	(52.0, 3551062.5)	(53.0, 3468053.0)	(54.0, 3324995.0)	(55.0, 3114578.0)	(56.0, 2894982.5)	(57.0, 2681802.5)	(58.0, 2475852.5)	(59.0, 2385064.0)	(60.0, 2220417.5)	(61.0, 1855569.0)	(62.0, 1559631.0)	(63.0, 1390875.0)	(64.0, 1113619.5)	(65.0, 834345.5)	(66.0, 739157.0)	(67.0, 700903.5)	(68.0, 677380.0)	(69.0, 605946.0)	(70.0, 557560.5)	(71.0, 550449.5)	(72.0, 519018.5)	(73.0, 489231.5)	(74.0, 466411.5)	(75.0, 394654.0)	(76.0, 294612.0)	(77.0, 220811.0)	(78.0, 174799.0)	(79.0, 141677.0)	(80.0, 95206.0)	(81.0, 69640.5)	(82.0, 56815.0)	(83.0, 36603.5)	(84.0, 20193.0)	(85.0, 13512.5)	(86.0, 7073.0)	(87.0, 4008.5)	(88.0, 2701.5)	(89.0, 1720.0)	(90.0, 1286.0)	(91.0, 1200.0)	(92.0, 1229.0)	(93.0, 1251.5)	(94.0, 1354.0)	(95.0, 1553.5)	(96.0, 1923.0)	(97.0, 2425.5)	(98.0, 2964.0)	(99.0, 3712.5)	(100.0, 6387.5)
