Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
260_Cort_22YMFCLT3_R1_merged	(15.0, 1.0)	(16.0, 114.0)	(17.0, 2569.0)	(18.0, 21414.0)	(19.0, 74850.0)	(20.0, 171415.0)	(21.0, 246010.0)	(22.0, 274683.0)	(23.0, 285102.0)	(24.0, 324091.0)	(25.0, 351743.0)	(26.0, 406815.0)	(27.0, 458308.0)	(28.0, 561006.0)	(29.0, 672308.0)	(30.0, 888021.0)	(31.0, 1200056.0)	(32.0, 1819901.0)	(33.0, 2019364.0)	(34.0, 2099890.0)	(35.0, 2897180.0)	(36.0, 4748726.0)	(37.0, 7781769.0)	(38.0, 16211626.0)	(39.0, 54857111.0)	(40.0, 12444299.0)			
260_Cort_22YMFCLT3_R2_merged	(12.0, 5.0)	(13.0, 193.0)	(14.0, 689.0)	(15.0, 2002.0)	(16.0, 9461.0)	(17.0, 31507.0)	(18.0, 82361.0)	(19.0, 149139.0)	(20.0, 226741.0)	(21.0, 250292.0)	(22.0, 240706.0)	(23.0, 231737.0)	(24.0, 252878.0)	(25.0, 269678.0)	(26.0, 309230.0)	(27.0, 341764.0)	(28.0, 404238.0)	(29.0, 460977.0)	(30.0, 560833.0)	(31.0, 662839.0)	(32.0, 848635.0)	(33.0, 1081975.0)	(34.0, 1539484.0)	(35.0, 2265071.0)	(36.0, 3892200.0)	(37.0, 6983353.0)	(38.0, 16480060.0)	(39.0, 61851430.0)	(40.0, 11388894.0)
985_Cort_22YMFCLT3_R1_merged	(15.0, 3.0)	(16.0, 117.0)	(17.0, 2502.0)	(18.0, 20789.0)	(19.0, 72426.0)	(20.0, 164212.0)	(21.0, 230559.0)	(22.0, 256810.0)	(23.0, 266433.0)	(24.0, 297735.0)	(25.0, 323504.0)	(26.0, 375066.0)	(27.0, 422933.0)	(28.0, 516154.0)	(29.0, 618073.0)	(30.0, 823277.0)	(31.0, 1132230.0)	(32.0, 1640534.0)	(33.0, 1605069.0)	(34.0, 1817078.0)	(35.0, 2586196.0)	(36.0, 4269683.0)	(37.0, 7112720.0)	(38.0, 15229569.0)	(39.0, 61893532.0)	(40.0, 16640204.0)			
985_Cort_22YMFCLT3_R2_merged	(12.0, 2.0)	(13.0, 246.0)	(14.0, 792.0)	(15.0, 2434.0)	(16.0, 11145.0)	(17.0, 36590.0)	(18.0, 93513.0)	(19.0, 169676.0)	(20.0, 259701.0)	(21.0, 286555.0)	(22.0, 274355.0)	(23.0, 263636.0)	(24.0, 285146.0)	(25.0, 302777.0)	(26.0, 345815.0)	(27.0, 379761.0)	(28.0, 443207.0)	(29.0, 499102.0)	(30.0, 604306.0)	(31.0, 703713.0)	(32.0, 891344.0)	(33.0, 1117911.0)	(34.0, 1564641.0)	(35.0, 2256889.0)	(36.0, 3824210.0)	(37.0, 6798051.0)	(38.0, 15992237.0)	(39.0, 66358594.0)	(40.0, 14551059.0)
Tube1_Cort_22YMFCLT3_R1_merged	(15.0, 5.0)	(16.0, 121.0)	(17.0, 2328.0)	(18.0, 18515.0)	(19.0, 62995.0)	(20.0, 142727.0)	(21.0, 203505.0)	(22.0, 223935.0)	(23.0, 226526.0)	(24.0, 250675.0)	(25.0, 268590.0)	(26.0, 311704.0)	(27.0, 350387.0)	(28.0, 427773.0)	(29.0, 510460.0)	(30.0, 672861.0)	(31.0, 914602.0)	(32.0, 1377495.0)	(33.0, 1445972.0)	(34.0, 1724314.0)	(35.0, 2496210.0)	(36.0, 4143515.0)	(37.0, 6955963.0)	(38.0, 14908833.0)	(39.0, 62334345.0)	(40.0, 16673005.0)			
Tube1_Cort_22YMFCLT3_R2_merged	(12.0, 6.0)	(13.0, 148.0)	(14.0, 673.0)	(15.0, 2427.0)	(16.0, 11517.0)	(17.0, 36882.0)	(18.0, 91626.0)	(19.0, 160771.0)	(20.0, 237206.0)	(21.0, 252273.0)	(22.0, 233698.0)	(23.0, 218622.0)	(24.0, 234967.0)	(25.0, 246499.0)	(26.0, 281044.0)	(27.0, 309569.0)	(28.0, 364410.0)	(29.0, 414412.0)	(30.0, 501169.0)	(31.0, 588130.0)	(32.0, 752104.0)	(33.0, 952471.0)	(34.0, 1348876.0)	(35.0, 1975125.0)	(36.0, 3403039.0)	(37.0, 6160122.0)	(38.0, 14807622.0)	(39.0, 67337337.0)	(40.0, 15724616.0)
Tube2_Cort_22YMFCLT3_R1_merged	(15.0, 2.0)	(16.0, 145.0)	(17.0, 3038.0)	(18.0, 25294.0)	(19.0, 81919.0)	(20.0, 171564.0)	(21.0, 231071.0)	(22.0, 242776.0)	(23.0, 240645.0)	(24.0, 264287.0)	(25.0, 282412.0)	(26.0, 323247.0)	(27.0, 361214.0)	(28.0, 431801.0)	(29.0, 502880.0)	(30.0, 635268.0)	(31.0, 804863.0)	(32.0, 1127638.0)	(33.0, 1325286.0)	(34.0, 1660058.0)	(35.0, 2380787.0)	(36.0, 3918132.0)	(37.0, 6497352.0)	(38.0, 13709941.0)	(39.0, 55875398.0)	(40.0, 14681384.0)			
Tube2_Cort_22YMFCLT3_R2_merged	(12.0, 8.0)	(13.0, 258.0)	(14.0, 809.0)	(15.0, 2381.0)	(16.0, 10693.0)	(17.0, 37806.0)	(18.0, 100189.0)	(19.0, 180537.0)	(20.0, 269692.0)	(21.0, 288508.0)	(22.0, 266847.0)	(23.0, 250557.0)	(24.0, 266883.0)	(25.0, 282644.0)	(26.0, 321046.0)	(27.0, 350536.0)	(28.0, 411691.0)	(29.0, 465115.0)	(30.0, 560002.0)	(31.0, 654383.0)	(32.0, 829187.0)	(33.0, 1040938.0)	(34.0, 1460558.0)	(35.0, 2107321.0)	(36.0, 3550084.0)	(37.0, 6229707.0)	(38.0, 14415334.0)	(39.0, 58835624.0)	(40.0, 12589064.0)
Tube3_Cort_22YMFCLT3_R1_merged	(15.0, 1.0)	(16.0, 74.0)	(17.0, 1437.0)	(18.0, 12425.0)	(19.0, 44843.0)	(20.0, 105582.0)	(21.0, 156357.0)	(22.0, 174634.0)	(23.0, 179190.0)	(24.0, 202149.0)	(25.0, 220108.0)	(26.0, 257037.0)	(27.0, 291812.0)	(28.0, 356073.0)	(29.0, 424085.0)	(30.0, 555949.0)	(31.0, 735975.0)	(32.0, 1033108.0)	(33.0, 1114352.0)	(34.0, 1452570.0)	(35.0, 2117134.0)	(36.0, 3528571.0)	(37.0, 5907449.0)	(38.0, 12686520.0)	(39.0, 50043541.0)	(40.0, 12799618.0)			
Tube3_Cort_22YMFCLT3_R2_merged	(12.0, 2.0)	(13.0, 191.0)	(14.0, 614.0)	(15.0, 1922.0)	(16.0, 8858.0)	(17.0, 27916.0)	(18.0, 70222.0)	(19.0, 124700.0)	(20.0, 191032.0)	(21.0, 210537.0)	(22.0, 201376.0)	(23.0, 193283.0)	(24.0, 207931.0)	(25.0, 220792.0)	(26.0, 253351.0)	(27.0, 279497.0)	(28.0, 330417.0)	(29.0, 377038.0)	(30.0, 458078.0)	(31.0, 538856.0)	(32.0, 691151.0)	(33.0, 878507.0)	(34.0, 1243717.0)	(35.0, 1814305.0)	(36.0, 3102422.0)	(37.0, 5568850.0)	(38.0, 13203887.0)	(39.0, 53210817.0)	(40.0, 10990325.0)
