Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
260_Cort_22YMFCLT3_R1_merged	(1.0, 9.312837995832897)	(2.0, 8.646188880413256)	(3.0, 9.480572245971564)	(4.0, 8.879067117183316)	(5.0, 7.031320303020109)	(6.0, 5.386441993097431)	(7.0, 4.060022933354659)	(8.0, 3.0900948556316195)	(9.0, 2.401210338700899)	('>10', 20.295493277021347)	('>50', 4.421065181054507)	('>100', 6.223655918865392)	('>500', 2.049504726877972)	('>1k', 3.566989038030002)	('>5k', 1.0196695777717206)	('>10k+', 4.135865617173268)
260_Cort_22YMFCLT3_R2_merged	(1.0, 10.72314529452565)	(2.0, 9.89652481965148)	(3.0, 11.156538862611272)	(4.0, 10.291121760956985)	(5.0, 8.279416622858077)	(6.0, 6.258181526121663)	(7.0, 4.439007121113205)	(8.0, 3.3155811354250395)	(9.0, 2.5287908508870394)	('>10', 16.33614124574267)	('>50', 2.808964336159769)	('>100', 4.993952618898592)	('>500', 1.8393657130130483)	('>1k', 3.295561847992422)	('>5k', 0.7229094057454768)	('>10k+', 3.1147968382974334)
985_Cort_22YMFCLT3_R1_merged	(1.0, 8.371534104980318)	(2.0, 8.082827272300696)	(3.0, 9.610456039950805)	(4.0, 9.073323452128355)	(5.0, 7.713682201132889)	(6.0, 6.173539673580837)	(7.0, 4.649839467396667)	(8.0, 3.601395244417406)	(9.0, 2.946726230928053)	('>10', 22.252479953366127)	('>50', 4.21560862902197)	('>100', 5.81811715814081)	('>500', 1.7065569126825177)	('>1k', 2.7910692457625643)	('>5k', 0.67131252015609)	('>10k+', 2.3215318940537437)
985_Cort_22YMFCLT3_R2_merged	(1.0, 10.631757089421534)	(2.0, 9.375334976572088)	(3.0, 11.490534737908508)	(4.0, 10.911076969083023)	(5.0, 9.127196623674816)	(6.0, 7.064708490236529)	(7.0, 5.092294979594644)	(8.0, 3.8737784730589744)	(9.0, 2.915104359733549)	('>10', 16.856870537581752)	('>50', 2.694569919862706)	('>100', 4.268491532160763)	('>500', 1.3882974779469321)	('>1k', 2.082680051138931)	('>5k', 0.4676120388290703)	('>10k+', 1.759691743196095)
Tube1_Cort_22YMFCLT3_R1_merged	(1.0, 4.99706658531738)	(2.0, 3.6759526867421677)	(3.0, 5.025227301926604)	(4.0, 5.560727991142948)	(5.0, 5.399456866334364)	(6.0, 4.792019719512361)	(7.0, 3.9064879928255656)	(8.0, 3.220714897881131)	(9.0, 2.59260301492548)	('>10', 25.935049798330606)	('>50', 7.616174201803997)	('>100', 11.983386574935917)	('>500', 3.5699497160259095)	('>1k', 6.113668409731351)	('>5k', 1.5267486220194277)	('>10k+', 4.084765620544967)
Tube1_Cort_22YMFCLT3_R2_merged	(1.0, 6.360097880883804)	(2.0, 4.06290856132038)	(3.0, 5.660240723470275)	(4.0, 6.503188810150874)	(5.0, 6.236659985695989)	(6.0, 5.753905805665519)	(7.0, 4.7012079720375315)	(8.0, 3.8910990692061747)	(9.0, 3.044431001471163)	('>10', 27.465416880163428)	('>50', 5.77209387531843)	('>100', 9.012770297258841)	('>500', 2.7294429219133614)	('>1k', 5.098143092499641)	('>5k', 1.2359830556815203)	('>10k+', 2.472410067263481)
Tube2_Cort_22YMFCLT3_R1_merged	(1.0, 7.050801884588263)	(2.0, 6.43332097389714)	(3.0, 7.823980824385808)	(4.0, 7.9834535265597415)	(5.0, 7.134332011906638)	(6.0, 5.821771261177585)	(7.0, 4.496551863546712)	(8.0, 3.3779798853749874)	(9.0, 2.744914772521452)	('>10', 23.72039070384986)	('>50', 6.034671902506876)	('>100', 8.995330231960578)	('>500', 2.480269135744499)	('>1k', 3.554762705308053)	('>5k', 0.806973880452984)	('>10k+', 1.540494436218772)
Tube2_Cort_22YMFCLT3_R2_merged	(1.0, 9.193850157249123)	(2.0, 7.1112923211857595)	(3.0, 9.016966774013824)	(4.0, 9.132744899677801)	(5.0, 8.064907281607352)	(6.0, 6.585826660449527)	(7.0, 5.003563884802972)	(8.0, 3.871430526526793)	(9.0, 3.0183464181723023)	('>10', 22.212224956472166)	('>50', 4.588296081342698)	('>100', 6.640479489460718)	('>500', 1.7353463940578029)	('>1k', 2.4279642010416462)	('>5k', 0.48821666977772166)	('>10k+', 0.9085432841619393)
Tube3_Cort_22YMFCLT3_R1_merged	(1.0, 8.093082661466836)	(2.0, 7.886062577558431)	(3.0, 8.92000623272283)	(4.0, 8.04241390912344)	(5.0, 6.680868632542031)	(6.0, 5.016482764904682)	(7.0, 3.685622048781295)	(8.0, 3.0311401405038865)	(9.0, 2.3045910991706924)	('>10', 22.060806664775733)	('>50', 5.738988475498263)	('>100', 9.031220522054767)	('>500', 2.5453898965175767)	('>1k', 3.976569698891028)	('>5k', 0.8882131984526062)	('>10k+', 2.098541477036365)
Tube3_Cort_22YMFCLT3_R2_merged	(1.0, 9.817358715940685)	(2.0, 8.974142844963858)	(3.0, 10.061518805072883)	(4.0, 9.175830086410045)	(5.0, 7.560559583304406)	(6.0, 5.81839965660773)	(7.0, 4.283508993760096)	(8.0, 3.217858808950744)	(9.0, 2.5843524514766223)	('>10', 20.384707024937263)	('>50', 4.4419787818848295)	('>100', 6.824344024689517)	('>500', 2.0232628917711626)	('>1k', 2.8781275934008823)	('>5k', 0.7115357050180996)	('>10k+', 1.2425140318112653)
Tube4_Cort_22YMFCLT3_R1_merged	(1.0, 4.751169791472852)	(2.0, 2.682107027224394)	(3.0, 3.955889441323046)	(4.0, 4.876807442866718)	(5.0, 5.279477084771706)	(6.0, 5.158616019070813)	(7.0, 4.694704802661475)	(8.0, 3.912309860031398)	(9.0, 3.2045806226773714)	('>10', 27.284863954457478)	('>50', 7.065805107974726)	('>100', 11.111764092305224)	('>500', 3.2933329366303847)	('>1k', 5.802180152538986)	('>5k', 1.5287117166088044)	('>10k+', 5.397679947384488)
Tube4_Cort_22YMFCLT3_R2_merged	(1.0, 6.261115583710362)	(2.0, 2.877489048341784)	(3.0, 4.404072261531571)	(4.0, 5.646689597363813)	(5.0, 6.158883999532399)	(6.0, 5.925879024159135)	(7.0, 5.5584754906837865)	(8.0, 4.549353324138902)	(9.0, 3.8247335954549486)	('>10', 28.432189982293455)	('>50', 5.318721359177761)	('>100', 8.49292472692139)	('>500', 2.812157243405877)	('>1k', 4.7939737995554665)	('>5k', 1.0975319434442843)	('>10k+', 3.8458090202851465)
