Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
260_Cort_22YMFCLT3_R1_merged	76.16346350949432	48.0	150.0	150	36.36363636363637	110.818372
260_Cort_22YMFCLT3_R2_merged	72.93445205761401	48.0	150.0	150	36.36363636363637	110.818372
985_Cort_22YMFCLT3_R1_merged	76.68622814876917	47.0	150.0	150	36.36363636363637	118.317408
985_Cort_22YMFCLT3_R2_merged	72.45923832729417	47.0	150.0	150	36.36363636363637	118.317408
Tube1_Cort_22YMFCLT3_R1_merged	85.37285029443451	50.0	150.0	150	27.27272727272727	116.64736099999999
Tube1_Cort_22YMFCLT3_R2_merged	82.66923552385035	50.0	150.0	150	27.27272727272727	116.64736099999999
Tube2_Cort_22YMFCLT3_R1_merged	79.87447442120887	48.0	150.0	150	27.27272727272727	105.778402
Tube2_Cort_22YMFCLT3_R2_merged	76.29035736162638	48.0	150.0	150	27.27272727272727	105.778402
Tube3_Cort_22YMFCLT3_R1_merged	78.27765961717955	49.0	150.0	150	27.27272727272727	94.400594
Tube3_Cort_22YMFCLT3_R2_merged	74.95260820940204	49.0	150.0	150	27.27272727272727	94.400594
Tube4_Cort_22YMFCLT3_R1_merged	86.2193579324494	50.0	150.0	150	36.36363636363637	102.60965999999999
Tube4_Cort_22YMFCLT3_R2_merged	83.57867149013137	50.0	150.0	150	45.45454545454545	102.60965999999999
