Module	Section	Sample Name	Source
FastQC	all_sections	Tube3_Cort_22YMFCLT3_R1_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/Tube3_Cort_22YMFCLT3_R1_merged_fastqc.zip
FastQC	all_sections	Tube3_Cort_22YMFCLT3_R2_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/Tube3_Cort_22YMFCLT3_R2_merged_fastqc.zip
FastQC	all_sections	Tube2_Cort_22YMFCLT3_R2_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/Tube2_Cort_22YMFCLT3_R2_merged_fastqc.zip
FastQC	all_sections	Tube2_Cort_22YMFCLT3_R1_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/Tube2_Cort_22YMFCLT3_R1_merged_fastqc.zip
FastQC	all_sections	260_Cort_22YMFCLT3_R2_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/260_Cort_22YMFCLT3_R2_merged_fastqc.zip
FastQC	all_sections	260_Cort_22YMFCLT3_R1_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/260_Cort_22YMFCLT3_R1_merged_fastqc.zip
FastQC	all_sections	985_Cort_22YMFCLT3_R1_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/985_Cort_22YMFCLT3_R1_merged_fastqc.zip
FastQC	all_sections	985_Cort_22YMFCLT3_R2_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/985_Cort_22YMFCLT3_R2_merged_fastqc.zip
FastQC	all_sections	Tube1_Cort_22YMFCLT3_R2_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/Tube1_Cort_22YMFCLT3_R2_merged_fastqc.zip
FastQC	all_sections	Tube1_Cort_22YMFCLT3_R1_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/Tube1_Cort_22YMFCLT3_R1_merged_fastqc.zip
FastQC	all_sections	Tube4_Cort_22YMFCLT3_R1_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/Tube4_Cort_22YMFCLT3_R1_merged_fastqc.zip
FastQC	all_sections	Tube4_Cort_22YMFCLT3_R2_merged	/mnt/beegfs/mccarthy/scratch/general/adunstone/Socs3_Knockout_RNA/output/FastQC_merged/Tube4_Cort_22YMFCLT3_R2_merged_fastqc.zip
