	AveExpr	Coef	t	P.value	F	F.p.value	Results	Genes.ENSEMBL	Genes.SYMBOL	Genes.TXCHROM
ENSMUSG00000000001	8.56998192310971	-0.132541809521914	-0.8043849940464	0.438365815785426	0.647035218647027	0.438365815785426	0	ENSMUSG00000000001	Gnai3	chr3
ENSMUSG00000000028	6.08783226813266	-0.139865644021982	-0.72892417413495	0.481415749340505	0.531330451638318	0.481415749340505	0	ENSMUSG00000000028	Cdc45	chr16
ENSMUSG00000000037	7.37238355554046	-0.107139939943063	-0.6390724071857	0.535973462657682	0.408413541626126	0.535973462657682	0	ENSMUSG00000000037	Scml2	chrX
ENSMUSG00000000049	3.86676953839171	-0.584768410044533	-1.55844304998162	0.147668664647702	2.428744740036	0.147668664647702	0	ENSMUSG00000000049	Apoh	chr11
ENSMUSG00000000058	6.69870452062235	0.347504877061374	2.3964689698762	0.0356422282032727	5.74306352357948	0.0356422282032727	0	ENSMUSG00000000058	Cav2	chr6
ENSMUSG00000000078	0.648226046549976	0.0461816931236443	0.0584050297176237	0.954482905577608	0.0034111474963165	0.954482905577608	0	ENSMUSG00000000078	Klf6	chr13
ENSMUSG00000000088	2.35881559958652	0.0524205429893654	0.122734653272084	0.904550784267151	0.0150637951138188	0.904550784267151	0	ENSMUSG00000000088	Cox5a	chr9
ENSMUSG00000000093	3.5272243424665	-0.365371160864109	-0.826705381249345	0.426129803823703	0.683441787386625	0.426129803823703	0	ENSMUSG00000000093	Tbx2	chr11
ENSMUSG00000000094	4.36857901493704	-0.0432324857744408	-0.168032376152997	0.869634754465029	0.0282348794356223	0.869634754465029	0	ENSMUSG00000000094	Tbx4	chr11
ENSMUSG00000000120	4.33452869632897	0.0615810686250295	0.159626376625014	0.876094667569008	0.0254805801144307	0.876094667569008	0	ENSMUSG00000000120	Ngfr	chr11
ENSMUSG00000000125	2.68110589933044	0.10406809965788	0.267994829097193	0.79370662621161	0.0718212284228337	0.79370662621161	0	ENSMUSG00000000125	Wnt3	chr11
ENSMUSG00000000126	6.56389611640005	-0.0517399952346853	-0.316951858262128	0.757267567623991	0.100458480455816	0.757267567623991	0	ENSMUSG00000000126	Wnt9a	chr11
ENSMUSG00000000127	0.843105701793228	-0.0164399529253008	-0.0186803514740769	0.985433634065144	0.000348955531195047	0.985433634065144	0	ENSMUSG00000000127	Fer	chr17
ENSMUSG00000000131	6.27510259717698	-0.0633720230893191	-0.408571938985179	0.690765159521165	0.166931029326109	0.690765159521165	0	ENSMUSG00000000131	Xpo6	chr7
ENSMUSG00000000134	1.30774689903008	0.533629147992467	0.935866004407232	0.369612094964012	0.875845178205157	0.369612094964012	0	ENSMUSG00000000134	Tfe3	chrX
ENSMUSG00000000142	1.42856715895163	0.834422031535916	1.37744241071093	0.195998500951676	1.89734759482514	0.195998500951676	0	ENSMUSG00000000142	Axin2	chr11
